"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Hybrid Production Management System in the Context of Industry 4.0","S. Schmid; H. Winkler","Chair of Production and Operations Management Siemens-Halske-Ring 6, Brandenburg University of Technology Cottbus-Senftenberg, Cottbus, Germany; Chair of Production and Operations Management Siemens-Halske-Ring 6, Brandenburg University of Technology Cottbus-Senftenberg, Cottbus, Germany",2022 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),"26 Dec 2022","2022","","","1573","1577","In our contribution, we consider how the Digital Twin of the production system can be combined with Artificial Intelligence methods. The result of these considerations should be a hybrid production management system, which can be used for decision support as well as for self-control. On the one hand, the Digital Twin is providing information and simulation for the optimal decision-making to the decision support system (human interaction). On the other hand, Artificial Intelligence is taking over some elements and tasks with automatic control (independent of human interaction). If the result is out of tolerance or if a random sample of the result is audited, the decision support system is validating the Artificial Intelligence result for execution (by human interaction). The hybrid production management system is to be used to control production processes and generates learning effects. The extension by methods of Artificial Intelligence opens possibilities to process and to master certain tasks independently of human interaction. The presented approach should relieve and support decision makers in production. By performing various actions automatically and achieving partial auto-control, the reactivity of linked processes can increase. The provision of decisive information favors decision quality and time-effectiveness.","","978-1-6654-8687-3","10.1109/IEEM55944.2022.9990000","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9990000","Digital Twin;Artificial Intelligence;Big Data;IoT;IIoT;Production Control;Manufacturing System;Intelligent System;Production Planning and Control;Industry 4.0;Hybrid Decision Support System","Decision support systems;Production management;Production systems;Process control;Manuals;Industrial engineering;Control systems","","3","","28","IEEE","26 Dec 2022","","","IEEE","IEEE Conferences"
"Featured Scents: Towards Assessing Architectural Smells for Self-Adaptive Systems at Runtime","E. L. Dos Santos; P. -Y. Schobbens; G. Perrouin","PReCISE, NaDI, Faculty of Computer Science, University of Namur, Namur, Belgium; PReCISE, NaDI, Faculty of Computer Science, University of Namur, Namur, Belgium; PReCISE, NaDI, Faculty of Computer Science, University of Namur, Namur, Belgium",2022 IEEE 19th International Conference on Software Architecture Companion (ICSA-C),"25 May 2022","2022","","","104","107","Self-adaptive systems (SAS) change their behavior and structure at runtime to answer the changes in their environment. Such systems combine different architectural fragments or solutions via feature binding/unbinding at runtime. Moreover, this combination may negatively impact the system’s architectural qualities, exhibiting architectural bad smells (ABS). These issues are challenging to detect in the code due to the combinatorial explosion of interactions amongst features. Since SAS does not document these features in their source code, design time smell detection ignores them and risks reporting smells that are different than those observed at runtime. This paper assesses this risk to understand how ABS occurs at runtime for different feature combinations. We look for cyclic dependency and hub-like ABS in various runtime adaptations of two SAS, Adasim and mRubis. Our results indicate that architectural smells are feature-dependent and that their number is highly variable from one adaptation to the other. Some ABS appear in all runtime adaptations, some in only a few. We discuss the reasons behind these architectural smells for each system and motivate the need for targeted ABS analyses in SAS.","2768-4288","978-1-6654-9493-9","10.1109/ICSA-C54293.2022.00026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9779816","Architectural Smells;Self-Adaptive Systems;Arcan;Behavioral Maps","Runtime;Codes;Costs;Software architecture;Instruments;Maintenance engineering;Feature extraction","","1","","16","IEEE","25 May 2022","","","IEEE","IEEE Conferences"
"Architectural Aspects of Self-Aware and Self-Expressive Computing Systems: From Psychology to Engineering","P. R. Lewis; A. Chandra; F. Faniyi; K. Glette; T. Chen; R. Bahsoon; J. Torresen; X. Yao",Aston University; Studix AS; University of Birmingham; University of Oslo; University of Oslo; University of Birmingham; University of Oslo; University of Oslo,Computer,"11 Aug 2015","2015","48","8","62","70","Work on human self-awareness is the basis for a framework to develop computational systems that can adaptively manage complex dynamic tradeoffs at runtime. An architectural case study in cloud computing illustrates the framework's potential benefits.","1558-0814","","10.1109/MC.2015.235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7185305","self-aware systems;meta-self-awareness;self-expressive systems;self-awareness","Human factors;Behavioral science;Computer architecture;Emotion recognition","","53","","10","IEEE","11 Aug 2015","","","IEEE","IEEE Magazines"
"The Construction of Web-Learning System and Learning Performance Based on Online Interaction and Self-Regulation Theories-Architectural Design Curriculum","W. Yun Wu; K. -H. Weng; M. -H. Wen; B. -J. You; J. -W. Lian","Department of Architectural Design, China University of Technology, Taipei, Taiwan; Department of Interior Design, China University of Technology, Taipei, Taiwan; Department of Commercial Design and Management, National Taipei University of Business, Taipei, Taiwan; Department of Interior Design, China University of Technology, Taipei, Taiwan; Graduate School of Department of Architecture, China University of Technology, Taipei, Taiwan","2017 International Conference on Information, Communication and Engineering (ICICE)","4 Oct 2018","2017","","","288","291","The purpose of this study is to develop a web learning system based on online interaction and self-regulated theories for architectural design learning and instruction. The traditional instruction method of architectural design education through apprenticeship discipline by “trial and error learning” was inefficiency and also weak of rising creativity. With the growth of internet technology, many new instruction strategies have been applied that make instruction results more efficient, cost-effective, and time-saving. The help of these new technologies could improve students learning performance. Thus, the purpose of this study does not only construct an online interaction and self-regulation system but also to try to explore whether there is a positive impact on interaction, self-regulation, and student-learning performance. Through collecting data from 120 freshmen, a survey was conducted to investigate whether online interaction has a positive impact on student performance through the mediation function of self-regulation and to explore its effectiveness.","","978-1-5386-3202-4","10.1109/ICICE.2017.8479001","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8479001","web-based learning system;e-learning;online interaction;self-regulation;meditation function","Education;Blogs;Conferences;Learning systems;Standards;Collaborative work;Interviews","","2","","6","IEEE","4 Oct 2018","","","IEEE","IEEE Conferences"
"Runtime Model-Based Safety Analysis of Self-Organizing Systems with S#","A. Habermaier; B. Eberhardinger; H. Seebach; J. Leupolz; W. Reif","Institute for Software & Systems Engineering, University of Augsburg, Germany; Institute for Software & Systems Engineering, University of Augsburg, Germany; Institute for Software & Systems Engineering, University of Augsburg, Germany; Institute for Software & Systems Engineering, University of Augsburg, Germany; Institute for Software & Systems Engineering, University of Augsburg, Germany",2015 IEEE International Conference on Self-Adaptive and Self-Organizing Systems Workshops,"29 Oct 2015","2015","","","128","133","Self-organizing systems present a challenge for model-based safety analysis techniques: At design time, the potential system configurations are unknown, making it necessary to postpone the safety analyses to runtime. At runtime, however, model checking based safety analysis techniques are often too time-consuming because of the large state spaces that have to be analyzed. Based on the S# framework's support for runtime model adaptation, we modularize runtime safety analyses by splitting them into two parts, modeling and analyzing the self-organizing and non-self-organizing parts separately. With some additional heuristics, the resulting state space reduction facilitates the use of model checking based safety analysis techniques to analyze the safety of self-organizing systems. We outline this approach on a self-organizing production cell, assessing the self-organization's impact on the overall safety of the system.","","978-1-4673-8439-1","10.1109/SASOW.2015.26","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7306569","safety analysis;formal methods;model checking;self-organizing systems;models at runtime","Analytical models;Adaptation models;Runtime;Hazards;Robot kinematics","","9","","28","IEEE","29 Oct 2015","","","IEEE","IEEE Conferences"
"Code Synthesis in Self-Improving Software Systems","R. V. Rodrigues Filho; A. Wild; B. Porter","Lancaster University Lancaster, UK; Lancaster University Lancaster, UK; Lancaster University Lancaster, UK",2019 IEEE 4th International Workshops on Foundations and Applications of Self* Systems (FAS*W),"8 Aug 2019","2019","","","4","5","This extended abstract aims at provoking a wide discussion around code synthesis and its importance in creating the next generation of self-improving software systems. As a starting point for the discussion, a machine-to-machine self-improving framework is presented. The framework aims at improving system's performance by integrating two modules: i) a self-improving online module, and ii) a code synthesiser offline module. The online module learns, at runtime, as it handles the system's inputs, how to best compose the system from a pallet of available software components and a user-defined high level goal. The offline code synthesiser generates new components based on the perceived system's input, executing environment and the system's goal provided by the online module. The code synthesiser then provides better component options for the online module to integrate with the system to improve its performance. This abstract describes the framework, focusing on its main challenges.","","978-1-7281-2406-3","10.1109/FAS-W.2019.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8791994","code synthesis, self-improving systems","Synthesizers;System performance;Software systems;Runtime;Conferences;Next generation networking","","1","","7","IEEE","8 Aug 2019","","","IEEE","IEEE Conferences"
"Quality-Driven Architectural Patterns for Self-Aware Cloud-Based Software","M. Salama; R. Bahsoon","School of Computer Science, University of Birmingham, Birmingham, UK; School of Computer Science, University of Birmingham, Birmingham, UK",2015 IEEE 8th International Conference on Cloud Computing,"20 Aug 2015","2015","","","844","851","Architecture-based self-adaptation has been recognised as one of the prominent ways to design autonomic systems, where self-manageable architectures tend to achieve the required level of dynamicity and compliance with the continual changing in QoS requirements during run-time. Self-awareness and self-expression have recently emerged as promising architectural concepts in the field of self-adaptive software. Self-aware architecture patterns are envisioned as enabler for self-adaptation, but they tend to provide limited support for the QoS run-time requirements. While the research community has developed in architecture quality management, patterns and tactics, addressing quality attributes in self-aware architectures has not been tackled yet. In this paper, we aim to provide quality-driven architectural patterns for emerging class of architecture enabled by the principles of self-awareness. We report on the feasibility of correlating QoS tactics with self-aware capabilities to better respond to QoS run-time requirements and trade-offs. We describe novel extensions which make the correlation between QoS tactics and self-awareness explicit. We quantitatively evaluate the feasibility, generality and fitness of the proposed approach, as well as its potential applicability to self-aware architectures. Though the proposed extensions can potentially benefit architectures which leverage on self-awareness, we use the case of cloud auto-scaling architecture.","2159-6190","978-1-4673-7287-9","10.1109/CLOUD.2015.116","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7214126","quality;QoS;architecture;architecture pattern;architectural tactic;cloud;self-awareness","Computer architecture;Quality of service;Monitoring;Cloud computing;Context;Engines","","5","","32","IEEE","20 Aug 2015","","","IEEE","IEEE Conferences"
"Synergizing Domain Expertise With Self-Awareness in Software Systems: A Patternized Architecture Guideline","T. Chen; R. Bahsoon; X. Yao","Department of Computer Science, Loughborough University, Loughborough, U.K.; School of Computer Science, University of Birmingham, Birmingham, U.K.; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China",Proceedings of the IEEE,"18 Jun 2020","2020","108","7","1094","1126","To promote engineering self-aware and self-adaptive software systems in a reusable manner, architectural patterns and the related methodology provide an unified solution to handle the recurring problems in the engineering process. However, in existing patterns and methods, domain knowledge and engineers’ expertise that is built over time are not explicitly linked to the self-aware processes. This link is important, as knowledge is a valuable asset for the related problems and its absence would cause unnecessary overhead, possibly misleading results, and unwise waste of the tremendous benefits that could have been brought by the domain expertise. This article highlights the importance of synergizing domain expertise and the self-awareness to enable better self-adaptation in software systems, relying on well-defined expertise representation, algorithms, and techniques. In particular, we present a holistic framework of notions, enriched patterns and methodology, dubbed DBASES, that offers a principled guideline for the engineers to perform difficulty and benefit analysis on possible synergies, in an attempt to keep “engineers-in-the-loop.” Through three tutorial case studies, we demonstrate how DBASES can be applied in different domains, within which a carefully selected set of candidates with different synergies can be used for quantitative investigation, providing more informed decisions of the design choices.","1558-2256","","10.1109/JPROC.2020.2985293","Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation; Program for Guangdong Introducing Innovative and Enterpreneurial Teams(grant numbers:2017ZT07 × 386); Shenzhen Science and Technology Program(grant numbers:KQTD2016112514355531); Program for University Key Laboratory of Guangdong Province(grant numbers:2017KSYS008); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9089006","Architectural patterns;human-in-the-loop;self-adaptive software systems;self-aware software systems","Software systems;Software algorithms;Self-aware;Guidelines;Knowledge engineering","","14","","91","CCBY","7 May 2020","","","IEEE","IEEE Journals"
"Self-Reconfiguration of Shipboard Power Systems","L. Sabatucci; M. Cossentino; G. De Simone; S. Lopes","Consiglio Nazionale delle Ricerche, Roma, Lazio, IT; Consiglio Nazionale delle Ricerche, Roma, Lazio, IT; Consiglio Nazionale delle Ricerche, Roma, Lazio, IT; Consiglio Nazionale delle Ricerche, Roma, Lazio, IT",2018 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W),"3 Jan 2019","2018","","","124","129","The functioning of the Shipboard Power System (SPS) is critical to the survival and safety of the ship because many accidents occurring during ship navigation are often due to electrical failures. In smart vessels, the SPS reconfiguration consists of a variation of the electrical topology to successfully supply energy to critical services. The proposed reconfiguration procedure uses a distributed and mission-oriented approach, and it employs a generic-purpose self-adaptive middleware (MUSA). MUSA has been customized to dynamically reconfigure an SPS in case of failures or unexpected events. It allows obtaining a runtime solution that properly considers ships mission and current scenario. We also implemented an experimental setup including a Matlab/Simulink simulation of a case study from literature.","","978-1-5386-5175-9","10.1109/FAS-W.2018.00036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599543","Smart Vessel;SPS reconfiguration;self-adaptive system","Marine vehicles;Circuit faults;Power systems;Generators;Navigation;Switching circuits;Topology","","5","","","IEEE","3 Jan 2019","","","IEEE","IEEE Conferences"
"Predict the Future: Preventing unanticipated changes is the ultimate challenge for self-adaptive systems","G. Engels","Dept. of Computer Science, Paderborn University, Paderborn, Germany",2021 International Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS),"29 Jun 2021","2021","","","260","261","Systems interact with their environment. This might lead to unanticipated events as system models usually cover only to a certain extent the dependencies of a system with the environment. We argue that many of these unanticipated events might become predictable in case we handle current and in particular past behavior of the environment by digital twins. We propose to refine the traditional MAPE-K architecture towards a MAPE-Twin architecture. Thus, the traditional knowledge component becomes an analyzable repository of behavior which allows to predict potential events in the future and to deal with them in a predefined way. Thus, the ultimate challenge for self-adaptive systems are not unanticipated changes, but the prediction of future behavior of a system and its environment.","2157-2321","978-1-6654-0289-7","10.1109/SEAMS51251.2021.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9462004","digital twin;predictive analytics;MAPE-K;MAPE-Twin;unanticipated change","Adaptive systems;Digital twin;Computer architecture;Software engineering","","2","","7","IEEE","29 Jun 2021","","","IEEE","IEEE Conferences"
