"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Influence of Spatio-temporal Based Human-Machine Interface Design on Driver Workload - A Case Study of Adaptive Cruise Control Using in Cutting-in Scenarios","W. Wang; F. You; Y. Li; S. Feuerstack; J. Wang","Car Interaction Design Lab, Tongji University, Shanghai, China; Car Interaction Design Lab, Tongji University, Shanghai, China; Car Interaction Design Lab, Tongji University, Shanghai, China; Car Interaction Design Lab, Tongji University, Shanghai, China; Car Interaction Design Lab, Tongji University, Shanghai, China",2022 IEEE/SICE International Symposium on System Integration (SII),"16 Feb 2022","2022","","","155","160","One of the major challenges that the drivers are facing today is increasing amount of information and multi-displays in vehicles. It results in drivers’ distraction, over workload and bad performance in driver-vehicle interaction, which may decrease the acceptance of novel technologies on autonomous vehicles. In this paper, based on the in-vehicle information systems (IVIS), we analyzed the in-vehicle dynamic information. We focused on Adaptive Cruise Control (ACC) using in the cutting-in driving scenario as a case study. Optimized HMIs on the head-up display and dashboard integrating basic vehicle information i.e., speed and ACC were designed. We proposed two HMIs: in HMI1, there was a temporal change, which means the detection information on ACC was displayed earlier; In HMI2, redundant information is spatially considered and distributed. Both HMIs were tested against a BASE HMI design, which displays all ACC-related information on the dashboard and the HUD. In a driving simulator study with a total of 30 participants, each participant performed in cutting-in scenarios with all three designs followed by a subjective workload assessment. The drivers’ lateral control behavior driving in the ego-car was measured. The results indicated that participants’ workload with HMI1 has a significant decrease compared to base HMI, while HMI2 did not show a significant difference. Neither HMI1 nor HMI2 affected driver behavior compared to the base HMI.","2474-2325","978-1-6654-4540-5","10.1109/SII52469.2022.9708771","Research and Development; China Scholarship Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9708771","","System integration;Aerospace electronics;Particle measurements;Trajectory;Safety;Vehicle dynamics;Optimization","","2","","24","IEEE","16 Feb 2022","","","IEEE","IEEE Conferences"
"Towards Adaptive AR Interfaces for Passengers of Autonomous Urban Air Mobility Vehicles: Analyzing the Impact of Flight Phases and Visibility Conditions on User Experience Through Simulation","L. Valente; F. G. Pratticó; M. Nobile; F. Lamberti","Politecnico di Torino, Italy; Politecnico di Torino, Italy; Politecnico di Torino, Italy; Politecnico di Torino, Italy",2024 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),"29 May 2024","2024","","","351","359","This work compares four possible designs of Augmented Reality (AR) interfaces for passengers of an Autonomous Aerial Vehicle (AAV) envisioned as an air taxi in the Urban Air Mobility (UAM) context. The four designs were evaluated and compared through a video-based study considering two potentially influential factors: flight phases (namely takeoff, cruise, and landing) and visibility conditions (i.e. clear daylight, night, and foggy). Dimensions in-cluded in the analysis were perceived safety, anxiety, situational awareness, cognitive workload, trust, predictability, and preference. The results showed that preferred interface by the passengers may vary depending on the considered combination of the two factors.","","979-8-3503-7449-0","10.1109/VRW62533.2024.00070","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10536217","advanced air mobility;autonomous transportation systems;augmented reality;Computing methodologies-Modeling and simulation-Simulation types and techniques-Interactive simulation;Computing methodologies-Computer graphics-Graphics systems and interfaces-Mixed / augmented reality;Humancentered computing-Human computer interaction (HCI)-HCI design and evaluation methods-User studies","Visualization;Three-dimensional displays;Design methodology;Conferences;Anxiety disorders;User interfaces;Market research","","1","","37","IEEE","29 May 2024","","","IEEE","IEEE Conferences"
"Conceptual Design of Virtual Avatars Based on Intelligent Human-Machine Interface in Autonomous Driving","R. Tang; J. Wang","College of Arts and Media, Tongji University, Shanghai, China; College of Arts and Media, Tongji University, Shanghai, China",2024 5th International Conference on Intelligent Computing and Human-Computer Interaction (ICHCI),"27 Dec 2024","2024","","","469","473","This study explores the conceptual design of virtual avatars in autonomous driving and their trigger mechanisms in the context of the Intelligent Human-Machine Interface (HMI). Through the intelligent system's perception of the situation, virtual avatars can be dynamically triggered based on vehicle status, environmental information, and driver behavior, enabling precise information delivery and real-time feedback. The research indicates that users have high expectations for virtual avatars in terms of safety notifications, emotional expression, and personalized design. This study provides a reference for the design of virtual avatars in future autonomous driving systems and proposes prospects for further adaptive optimization.","","979-8-3503-6828-4","10.1109/ICHCI63580.2024.10807967","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10807967","Autonomous Driving;Augmented Reality;Intelligent Human-Machine Interface;Virtual Avatars","Human computer interaction;Surveys;Avatars;Human-machine systems;Real-time systems;Safety;Intelligent systems;Driver behavior;Autonomous vehicles;Vehicles","","","","16","IEEE","27 Dec 2024","","","IEEE","IEEE Conferences"
"(NBCI) Natural Brain (Human) and Computer Interaction: Development of User Experience with Computers through Adaptive Interface Method","A. P. A. A. Packia; M. Babu; A. Al-Khalidi; M. M. Abdulhasan; D. Erudiyanathan; A. Naqvi","Department of Management Studies, P.S.R Engineering College, Sivakasi; Department of Computer Science and Engineering, Rajalakshmi Institute of Technology (Autonomous), TN; Al-Hadi University College, Baghdad, Iraq; Department of Medical Laboratories Technology, AL-Nisour University College, Baghdad, Iraq; Department of Management, Kristu Jayanti College (Autonomous), K. Narayanapura, Kothanur, Bengaluru; Department of Chemical Engineering, MS Ramaiah Institute of Technology MSR Nagar, Bangalore, Karnataka",2024 4th International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE),"9 Aug 2024","2024","","","1135","1139","In the current digital dispensation, Human-Computer Interaction (HCI) fronts itself as key to the user experiences across all the other technological platforms. Human-Computer Interaction will continue rising to the fore with rapid advancements experienced in technology and demand for seamless interactions between man and machine growing. Adaptive interfaces have been designed to meet the manifold demands and preferences of users, with the sole aim of improving the overall user experience. This paper thus goes further to try and understand the importance of adaptive interfaces within the domain of HCI toward improving user experience. How do adaptive interfaces optimally change their behavior with user inputs, context, and other determining factors to optimize a user’s interaction with the system. It synthesizes prior knowledge and extracts main principles and methodologies of adaptive interface design from an extensive literature review. The basic ideas of adaptive interfaces and their roles in HCI are described. The theory could be, in return, a guide for the designers and developers for the efficient use of the adaptive techniques to develop interfaces more in accordance with users. It further explores several adaptive approaches based on advanced context-awareness, user modeling, and machine learning algorithms, and their implication on HCI. It further outlines various case studies and examples in their respective application domains, from web browsing to mobile applications and assistive technology, showing adaptive interfaces in use.","","979-8-3503-6016-5","10.1109/ICACITE60783.2024.10617342","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10617342","Human-Computer Interaction;adaptive interfaces;user experience;technology;seamless interactions;user preferences;machine learning algorithms;context-awareness;user modeling;HCI research","Human computer interaction;Adaptation models;Computational modeling;Bibliographies;User experience;Real-time systems;Mobile applications","","","","35","IEEE","9 Aug 2024","","","IEEE","IEEE Conferences"
"Human-Machine Interfaces a Dual Perspective on Innovation and Complexity","S. M. M. Matias","Eulogio “Amang” Rodriguez Institute of Science and Technology Nagtahan Street, Sampaloc, Manila, Philippines",2025 9th International Conference on Robotics and Automation Sciences (ICRAS),"19 Aug 2025","2025","","","1","6","HMIs, or human-machine interfaces, are at the forefront of contemporary technological advancement and are essential for connecting people to ever-more sophisticated systems. This study examines HMIs from two perspectives: complexity and innovation. It emphasizes the potential and difficulties of creating interfaces that are both technologically sophisticated and easy to use. A comprehensive framework is proposed for the design, evaluation, and continuous improvement of adaptive and intelligent HMI systems. The paradigm prioritizes a user-centered approach that is backed by real-time feedback systems, cognitive load measurement, and usability heuristics. The study also looks at how machine learning methods might be incorporated to improve customer happiness, responsiveness, and personalization. This study aids in the creation of more effective, accessible, and morally sound interfaces by assessing usability, adaptability, and cognitive impact across a variety of HMI technologies.","2694-3506","979-8-3503-9249-4","10.1109/ICRAS65818.2025.11108939","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11108939","Human-Machine Interfaces (HMI);Usability Evaluation;Machine Learning;Adaptive Systems;User-Centered Design;Interface Complexity;Innovation in Interaction Design;Intelligent Interfaces;Human Factors Engineering","Technological innovation;Ethics;User centered design;Machine learning;Human factors;Cognitive load;Real-time systems;Complexity theory;Iterative methods;Usability","","","","42","IEEE","19 Aug 2025","","","IEEE","IEEE Conferences"
"Designing for Mixed-Initiative Interactions between Human and Autonomous Systems in Complex Environments","M. J. Barnes; J. Y. C. Chen; F. Jentsch","Human Research & Engineering Directorate, U.S. Army Research Laboratory, Ft. Huachuca, AZ, USA; Human Research & Engineering Directorate, U.S. Army Research Laboratory, Orlando, FL, USA; Psychology Department and Institute for Simulation & Training, University of Central Florida, Orlando, FL, USA","2015 IEEE International Conference on Systems, Man, and Cybernetics","14 Jan 2016","2015","","","1386","1390","The purpose of the paper is to discuss human centered design implications for shared decision making between humans and autonomous systems in complex environments. Design implications are generated based on empirical results from two research paradigms. In the first paradigm, an intelligent agent (RoboLeader) supervised multiple subordinate systems and was in turn supervised by the human operator. The Robo Leader research varied number of subordinate units, task difficulty, agent reliability, type of agent errors, and partial autonomy. The second paradigm involved human interaction with partially and fully autonomous systems. Design implications from both paradigms are evaluated -- relating to multitasking, adaptive systems, false alarms, individual differences, operator trust, and allocation of human and agent tasks for partial autonomy. We conclude that mixed-initiative decision sharing depends on designing interfaces that support human-agent transparency.","","978-1-4799-8697-2","10.1109/SMC.2015.246","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7379378","autonomous agents;human-centered design;mixed-initiative decision making","Robots;Vehicles;Reliability;User interfaces;Monitoring;Collaboration;Manuals","","17","","28","IEEE","14 Jan 2016","","","IEEE","IEEE Conferences"
"Conceptual Design of Driver-Adaptive Human-Machine Interface for Digital Cockpit","J. -K. Choi; Y. -J. Kwon; J. Jeon; K. Kim; H. Choi; B. Jang","Intelligent Robotics Research Division, Electronics and Telecommunications Research Institute (ETRI), Daejeon, Republic of Korea; Intelligent Robotics Research Division, Electronics and Telecommunications Research Institute (ETRI), Daejeon, Republic of Korea; Intelligent Robotics Research Division, Electronics and Telecommunications Research Institute (ETRI), Daejeon, Republic of Korea; Intelligent Robotics Research Division, Electronics and Telecommunications Research Institute (ETRI), Daejeon, Republic of Korea; Intelligent Robotics Research Division, Electronics and Telecommunications Research Institute (ETRI), Daejeon, Republic of Korea; Intelligent Robotics Research Division, Electronics and Telecommunications Research Institute (ETRI), Daejeon, Republic of Korea",2018 International Conference on Information and Communication Technology Convergence (ICTC),"18 Nov 2018","2018","","","1005","1007","In this paper we introduce the conceptual design of vehicular digital cockpit that adaptively changes contents of the voice guidance and the digital cluster according to the driver 's age, gender and driving experience. Based on this conceptual design, we propose the necessary functional requirements to realize driver-adaptive human machine interface. In order to complete the digital cockpit adapted to the driver, it is necessary to measure and learn about the driver's condition, driving ability, and the cognitive response to the human machine interfaces as well as adapting to driver's preference and characteristics.","2162-1233","978-1-5386-5041-7","10.1109/ICTC.2018.8539644","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8539644","Human-machine interface;HMI;Human-driver interface;HVI;digital cockpit","Vehicles;Instruments;Speech recognition;Man-machine systems;Roads;Visualization","","7","","17","IEEE","18 Nov 2018","","","IEEE","IEEE Conferences"
"Brain computer interface: A review","P. Prashant; A. Joshi; V. Gandhi","Mechatronics Department, TeamLease Skills University, Vadodara, India; Mechatronics Department, G. H. Patel College of Engg. & Tech, Vallabh Vidyanagar, India; Department of Design Engineering and Mathematics, Middlesex University, London, UK",2015 5th Nirma University International Conference on Engineering (NUiCONE),"9 Apr 2016","2015","","","1","6","A brain-computer interface (BCI), also referred to as a mind-machine interface (MMI) or a brain-machine interface (BMI), provides a non-muscular channel of communication between the human brain and a computer system. With the advancements in low-cost electronics and computer interface equipment, as well as the need to serve people suffering from disabilities of neuromuscular disorders, a new field of research has emerged by understanding different functions of the brain. The electroencephalogram (EEG) is an electrical activity generated by brain structures and recorded from the scalp surface through electrodes. Researchers primarily rely on EEG to characterise the brain activity, because it can be recorded non-invasively by using portable equipment. The EEG or the brain activity can be used in real time to control external devices via a complete BCI system. A typical BCI scheme generally consists of a data acquisition system, pre-processing of the acquired signals, feature extraction process, classification of the features, post-processing of the classifier output, and finally the control interface and device controller. The post-processed output signals are translated into appropriate commands so as to control output devices, with several applications such as robotic arms, video games, wheelchair etc.","","978-1-4799-9991-0","10.1109/NUICONE.2015.7449615","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7449615","Brain-Computer Interface;Electroencephalography;Neural Activity","Electroencephalography;Electrodes;Brain;Neurons;Brain-computer interfaces;Adaptive filters;Band-pass filters","","32","","46","IEEE","9 Apr 2016","","","IEEE","IEEE Conferences"
"Adaptive Algorithm Based Text to Braille Conversion for Visually Impaired People","D. R. Thomas; P. Mervin A; S. Kumareswaran; D. Srivishall; V. Prabhu; V. Peroumal","Dept. of ECE Vel Tech Multi Tech, Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Chennai, India; Dept. of ECE Vel Tech Multi Tech, Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Chennai, India; Dept. of ECE Vel Tech Multi Tech, Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Chennai, India; Dept. of ECE Vel Tech Multi Tech, Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Chennai, India; Dept. of ECE Vel Tech Multi Tech, Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Chennai, India; School of Electronics Engineering, Vellore Institute of Technology, Chennai, India",2024 International Conference on Brain Computer Interface & Healthcare Technologies (iCon-BCIHT),"19 Feb 2025","2024","","","1","4","This paper introduces a sophisticated communication system tailored for individuals with visual impairments, merging Braille with modern digital technology. The system employs the ESP8266 microcontroller for its WiFi capabilities, serving as the central processor. Text inputs received via WiFi are processed by the ESP8266, activating six solenoid valves positioned to produce Braille patterns. This seamless integration of traditional Braille with WiFi connectivity allows real-time text-to-Braille conversion, enhancing accessibility. Advanced error detection and correction mechanisms ensure accuracy, while adaptive algorithms adjust valve activation for consistent tactile feedback in various environments. The system's flexibility enables integration with additional sensory feedback mechanisms, like audio cues, enriching user interaction. By meticulously combining hardware and software, this Paper sets a new standard in Braille communication systems for visually impaired individuals.","","979-8-3315-4006-7","10.1109/iCon-BCIHT63907.2024.10882411","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10882411","Text to Braille Conversion;Tactile Feedback Generation;Error Detection and Correction;Adaptive Algorithm","Braille;Sign language;Communication systems;Visual impairment;Adaptive algorithms;Valves;Software;Hardware;Iterative methods;Wireless fidelity","","","","15","IEEE","19 Feb 2025","","","IEEE","IEEE Conferences"
"Unstable Teams: Management of Remote User Interface Evaluation in Adaptive Software Development","E. Dudysheva; I. Skopin","Scientific Laboratory of Interdisciplinary Research in Education, Shukshin Altai State University for Humanities and Pedagogy, Biysk, Russia; Parallel Program Synthesis Laboratory, Institute of Computational Mathematics and Mathematical Geophysics SB RAS, Novosibirsk, Russia",2023 3rd International Conference on Technology Enhanced Learning in Higher Education (TELE),"21 Jul 2023","2023","","","104","108","The paper considers problems of management of remote unstable teams in agile software development. The purpose is to discuss the modified model of Adaptive Software Development (ASD) complemented with interface evaluation procedures in the conditions of development by unstable development teams with remote participation and the possibilities of experimental implementation of the model. We propose to add each iteration of the ASD model with autonomous tasks for remote evaluation of the user interface, which are carried out by remotely involved performers. Methods may include behavioral and psychophysiological metrics based on eye-tracking and emotion detection in remote user experience. We justify the effectiveness of experimental verification of the model for remote teams of students undergoing software development training using modified ASD methodology. As a result, the additional problem of ensuring sufficient selection of qualified users for evaluating professional projects interface with behavioral and psychophysiological methods can be solved: the possible way is to involve students undergoing software development training and performing remote autonomous tasks within unstable professional teams.","","979-8-3503-2656-7","10.1109/TELE58910.2023.10184341","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10184341","agile software development;management of unstable development teams;students’ software development learning;methods of user interface evaluation;behavioral and psychophysiological evaluation devices","Training;Measurement;Adaptation models;Agile software development;Project management;Organizations;Software","","","","18","IEEE","21 Jul 2023","","","IEEE","IEEE Conferences"
