"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A MAS based energy-coordination for decentralized control of the hybrid electrical system","Z. Bari; M. Ben Yakhlef","Laboratory of Engineering Sciences (LSI), USMBA, Fes, Morocco; Laboratory of Engineering Sciences (LSI), Faculty Polydisciplinary Taza, USMBA, Fes, Morocco",2017 Intelligent Systems and Computer Vision (ISCV),"2 Oct 2017","2017","","","1","6","The objective of this work is, firstly, to set up models for the management of the different elements of a Hybrid Electrical System (HES) self-sufficient suited to the potentials (wind and solar) of our rural regions south of Morocco isolated from the network, secondly to establish an energy management system that is able to dynamically find a policy of production and consumption, taking into account the criteria set by the user and the various constraints of equipment and sources. The aims of the management strategy are to adapt the energy consumed by consumption sources to that supplied by the renewable production sources of the system. It is based on the shift, interruption, reduction, or increase of the power requested from one or several controllable consumption sources of the system. The suggested strategy which is based on the flexibility of consumption sources has made it possible to significantly reduce the lost energy that accounts for a significant gain from an economic point of view. It improves the use of the energy produced by modifying the charge profile. Proposed strategy privileges the functioning of the critical charges.","","978-1-5090-4062-9","10.1109/ISACV.2017.8054988","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8054988","Hybrid Electrical System;Multi Agent System;Behavior modeling;Complex system","Production;Batteries;Load modeling;Biological system modeling;Photovoltaic systems;Mathematical model","","1","","12","IEEE","2 Oct 2017","","","IEEE","IEEE Conferences"
"Automized, Simulation-Based, Technical and Economical Rating of Semi-Self-Sufficient Electrical Energy Systems","M. Fuchs; P. Ponomarov; B. Arndt","University of Applied Sciences Würzburg/Schweinfurt, Technology-Transfer-Centre for E-Mobility, Bad Neustadt, Germany; University of Applied Sciences Würzburg/Schweinfurt, Technology-Transfer-Centre for E-Mobility, Bad Neustadt, Germany; University of Applied Sciences Würzburg/Schweinfurt, Technology-Transfer-Centre for E-Mobility, Bad Neustadt, Germany",2018 International IEEE Conference and Workshop in Óbuda on Electrical and Power Engineering (CANDO-EPE),"6 Jan 2019","2018","","","179","184","While houses were simply connected to the electrical grid and contained a gas or oil heating system, for a long time energy flows were simple. With the integration of alternative energy systems such as photovoltaic (PV) systems, heat pumps, combined heat and power units (CHPs), home batteries and electrical cars into houses, energy flows become more complicated. This paper describes the implementation of a model to simulate the technical and economical outcome of a system with the previously mentioned components in single- and multi-family houses in Germany. As input for climate data and energy demand, literature data is used. The simulation is capable of economic and ecologic estimation and can be controlled by a web interface with the intention to provide a straightforward online tool for homeowners.","","978-1-7281-1154-4","10.1109/CANDO-EPE.2018.8601146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8601146","","Cogeneration;Heat pumps;Biological system modeling;Batteries;Photovoltaic systems;Estimation;Temperature","","","","14","IEEE","6 Jan 2019","","","IEEE","IEEE Conferences"
"Digitization of the Distribution Grid to Support e-Mobility Charging Infrastructure","G. Vom Bögel; F. Essingholt; B. Bennertz; T. Grenter","Busines Unit Industry, Fraunhofer IMS, Duisburg, Germany; Smart Sensor Systems, Fraunhofer IMS, Duisburg, Germany; Embedded Software and AI, Fraunhofer IMS, Duisburg, Germany; Smart Sensor Systems, Fraunhofer IMS, Duisburg, Germany",2023 IEEE International Workshop on Metrology for Automotive (MetroAutomotive),"23 Aug 2023","2023","","","78","82","The article addresses a subproject of the Energy ECS project [1], in which the development and realization of suitable components for condition monitoring of electrical distribution grids is carried out. By means of suitable sensor systems, communication and IT infrastructure components, relevant information on network infrastructure elements at neuralgic points is collected, aggregated and communicated. This information can be used directly for a highly dynamic grid-serving control of grid components to ensure a robust and efficient use of the distribution grid. The project makes a direct contribution to the digitization of distribution grids and thus contributes to the successful integration of decentralized generators and electromobility. The main objective of the subproject is the development and realization of energy-autonomous sensor systems for recording the status of relevant components of a low-voltage distribution network. The work to be carried out includes sensor principles as well as the field of energy harvesting or the field of sensor signal processing.","","979-8-3503-2187-6","10.1109/MetroAutomotive57488.2023.10219102","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10219102","smart grid monitoring;self-sufficient sensor;LPWAN;controlled charging infrastructure","Low voltage;Distribution networks;Metrology;Sensor systems;Generators;Smart grids;Recording","","1","","7","EU","23 Aug 2023","","","IEEE","IEEE Conferences"
"Smart Monitoring Service through Self Sufficient Healthcare Gadget for Elderly","R. Tasneem Usha; F. Sazid Sejuti; S. Islam","Computer Science and Engineering, BRAC University, Dhaka, Bangladesh; Computer Science and Engineering, BRAC University, Dhaka, Bangladesh; Computer Science and Engineering, BRAC University, Dhaka, Bangladesh",2019 IEEE International Symposium on Smart Electronic Systems (iSES) (Formerly iNiS),"20 Feb 2020","2019","","","276","279","This paper presents a remote health monitoring system focusing on the general well being of elderly people. The system provides several functionalities such as a wearable gadget to monitor the overall health condition of the patient and an android application software for relatives involved in eldercare. The wearable gadget is run by a microprocessor and it will gather information using sensors. Moreover, it consists of some general functions such as one-button emergency call feature, medicine reminder, refill notification and Geofencing. By using GSM and GPS modules the patient's relatives, as well as an appointed doctor, can monitor real-time activities, see the condition of the patient remotely, receive emergency alerts and track location through an android app. The core purpose of the paper is to build a low budget monitoring system for elderly health care, developed focusing on user compatibility and reliability.","","978-1-7281-4655-3","10.1109/iSES47678.2019.00068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9002467","Cost-efficient;Elder compatible gadget;Remote Monitoring;Geo fencing;Android monitoring app","Medical services;Monitoring;Senior citizens;Androids;Humanoid robots;Biomedical monitoring;Global Positioning System","","5","","17","IEEE","20 Feb 2020","","","IEEE","IEEE Conferences"
"Smart Water Management: a Self-Sufficient IoT-Based Application for Pressure and Flow Monitoring in Water Distribution Systems","L. D. de Oliveira; J. V. S. De Araújo; J. H. B. Da Silva; J. M. M. Villanueva; C. A. de Souza Filho; M. N. Ochoa","Undergraduate in Electrical Engineering, Federal University of Paraíba, João Pessoa, Brazil; Graduate in Electrical Engineering, Federal University of Paraíba, João Pessoa, Brazil; Undergraduate in Electrical Engineering, Federal University of Paraíba, João Pessoa, Brazil; Department of Electrical Engineering, Federal University of Paraíba, João Pessoa, Brazil; Department of Electrical Engineering, Federal University of Paraíba, João Pessoa, Brazil; Department of Electrical Engineering, Universidad de Ingenieria y Tecnologia – UTEC, Lima, Peru","2023 7th International Symposium on Instrumentation Systems, Circuits and Transducers (INSCIT)","25 Sep 2023","2023","","","1","6","Water distribution in municipalities involves various challenges, such as maintenance of pipelines, pressure and flow control, water quality monitoring, among others. In this sense, measuring the flow and pressure of a system is a key issue for optimizing water distribution in cities. Therefore, this information is important to ensure that water is delivered with quality and in adequate quantity to consumers. With the advent of technology, some advanced solutions have been proposed in the literature to address these challenges, such as hydraulic modeling software, intelligent sensors, and automated control systems. Among these, one of the most commonly used techniques to increase system efficiency is wireless sensor networks. However, monitoring in a wide coverage area, such as metropolises, becomes difficult to implement, involving high costs and infeasibility of large-scale sensor installation. Therefore, applications involving IoT (Internet of Things) have been proposed as a low-cost and low energy consumption alternative. Thus, this article describes the steps, challenges, and solutions necessary for the development of a self-sufficient IoT application aimed at monitoring pressure and flow in a water supply network.","","979-8-3503-2651-2","10.1109/INSCIT59673.2023.10258484","Conselho Nacional de Desenvolvimento Científico e Tecnológico; Universidade Federal da Paraíba; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10258484","Water Pressure;Water Flow;Internet of Things;Self-sufficient system;Micro Hydro Turbine","Wireless communication;Wireless sensor networks;Costs;Transducers;Urban areas;Refining;Water quality","","","","12","IEEE","25 Sep 2023","","","IEEE","IEEE Conferences"
"Ripples: A tool for oceanic campaign managing, supervision, and situational awareness","A. Sá; R. Santos; R. Mendes; P. Dias; J. Pereira; W. D. Choi; A. Sérgio Ferreira; J. B. de Sousa","Laboratório de Sistemas e Tecnologia Subaquática (LSTS), Faculdade de Engenharia da Universidade do Porto, Portugal; Laboratório de Sistemas e Tecnologia Subaquática (LSTS), Faculdade de Engenharia da Universidade do Porto, Portugal; Laboratório de Sistemas e Tecnologia Subaquática (LSTS), Faculdade de Engenharia da Universidade do Porto, Portugal; Laboratório de Sistemas e Tecnologia Subaquática (LSTS), Faculdade de Engenharia da Universidade do Porto, Portugal; Laboratório de Sistemas e Tecnologia Subaquática (LSTS), Faculdade de Engenharia da Universidade do Porto, Portugal; Laboratório de Sistemas e Tecnologia Subaquática (LSTS), Faculdade de Engenharia da Universidade do Porto, Portugal; Laboratório de Sistemas e Tecnologia Subaquática (LSTS), Faculdade de Engenharia da Universidade do Porto, Portugal; Laboratório de Sistemas e Tecnologia Subaquática (LSTS), Faculdade de Engenharia da Universidade do Porto, Portugal",OCEANS 2023 - Limerick,"12 Sep 2023","2023","","","1","5","Several entities are at the forefront of combining ocean exploration and monitoring with robotics; among them is the LSTS (Underwater Systems and Technology Laboratory) 1 . This laboratory specializes in designing, constructing, and operating unmanned underwater, surface, and air vehicles and developing their software. The LSTS uses several autonomous vehicles to monitor and map the ocean to achieve persistent and efficient ocean observation. These vehicles, although autonomous, are not self-sufficient and need human supervision. When deploying these vehicles, it is common to have multiple teams geographically separated due to the multidisciplinary cooperative nature of these missions, so they need to be able to control these vehicles and communicate efficiently. In this paper, we present one such tool used for this purpose.","","979-8-3503-3226-1","10.1109/OCEANSLimerick52467.2023.10244653","Fundação Luso-Americana para o Desenvolvimento; European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10244653","Autonomous Vehicles;Collaborative Maritime Data;Multi-system Command and Control (C2);Situational Awareness;Workload;Maritime Campaign","Visualization;Sea surface;Decision making;Software;Real-time systems;Trajectory;Planning","","1","","11","IEEE","12 Sep 2023","","","IEEE","IEEE Conferences"
"Monitoring of electric power systems: Application to self-sufficient hybrid renewable energy systems","I. G. Pérez; A. J. C. Godoy; M. C. Godoy; J. L. H. Agustín","Department of Electrical Engineering, Electronics and Automatics, University of Extremadura, Badajoz, Spain; Department of Electrical Engineering, Electronics and Automatics, University of Extremadura, Spain; Department of Electrical Engineering, Electronics and Automatics, University of Extremadura, Badajoz, Spain; Department of Electrical Engineering, Electronics and Automatics, Universidad de Extremadura, Caceres, Extremadura, ES",2015 9th International Conference on Compatibility and Power Electronics (CPE),"3 Sep 2015","2015","","","560","565","Supervisory Control and Data Acquisition systems play a paramount role in the operation of electrical power systems. In this paper, two monitoring systems are developed and applied for self-sufficient hybrid systems based on renewable energy and hydrogen. Siemens WinCC flexible and National Instruments LabVIEW software packages have been used. The first one runs in an operator panel linked with a PLC. For the LabVIEW-based SCADA, a data acquisition card collects sensors information. Their main features and capabilities for local and remote use are exposed.Supervisory Control and Data Acquisition systems play a paramount role in the operation of electrical power systems. In this paper, two monitoring systems are developed and applied for self-sufficient hybrid systems based on renewable energy and hydrogen. Siemens WinCC flexible and National Instruments LabVIEW software packages have been used. The first one runs in an operator panel linked with a PLC. For the LabVIEW-based SCADA, a data acquisition card collects sensors information. Their main features and capabilities for local and remote use are exposed.","2166-9546","978-1-4799-6301-0","10.1109/CPE.2015.7231137","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7231137","renewable energy;hydrogen;SCADA;monitoring;remote access","Hydrogen;SCADA systems;Batteries;Sensors;Monitoring;Fuel cells;Generators","","2","","20","IEEE","3 Sep 2015","","","IEEE","IEEE Conferences"
"Renewable self-sufficient energy supply for smart devices in urban areas, Energy-Hub - case study","C. Wenge; B. Arendarski; S. Balischewski; R. Pietracho","Fraunhofer Institute for Factory Operation and Automation, Magdeburg, Germany; Fraunhofer Institute for Factory Operation and Automation, Magdeburg, Germany; Fraunhofer Institute for Factory Operation and Automation, Magdeburg, Germany; Department of Engineering and Industrial Design, University of Applied Sciences Magdeburg-Stendal, Magdeburg, Germany",2023 IEEE Power & Energy Society General Meeting (PESGM),"25 Sep 2023","2023","","","1","5","Electricity is part of the basic supply and is an important medium for providing basic functions. The demand for self-sufficient energy supply systems is growing in electrically untapped areas because of digitization, provision of ICT services and charging devices for ICT-components (tablets and smart phones) and electrified micro vehicles (e-bikes and e-scooters). The challenge is to compensate the volatile feed-in and seasonal availability of renewable energies ensuring sustainable power supply. The aim of this study was the specific conception and technical realization of a self-sufficient energy hub. The focus was on the design as a functional rest area and meeting place with energy supply for charging various electronic devices from smartphones to e-bikes. In addition to the requirements of system design and configuration, measurement technology and IT systems were integrated to use the E-Hub as a living lab for research and education and to scale and transfer the results for other requirements and projects. The paper includes planning and simulation methods as well as design and validation and will be continued with long term tests, system optimization and data evaluation.","1944-9933","978-1-6654-6441-3","10.1109/PESGM52003.2023.10252840","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10252840","Energy Hub;self-sufficient charger;self-sufficient ICT island;Self-sufficient RES energy supply;e-bicycle;e-scooter","Battery chargers;Renewable energy sources;Urban areas;Education;Planning;Smart devices;Smart phones","","3","","27","IEEE","25 Sep 2023","","","IEEE","IEEE Conferences"
"Energy Management System for Inter-Connected Self-Sufficient Microgrids with Blockchain-Based Peer-to-Peer Energy Market","I. Demidov; A. Pinomaa; S. Honkapuro; M. Nieminen","School of Energy Systems, LUT University, Lappeenranta, Finland; School of Energy Systems, LUT University, Lappeenranta, Finland; School of Energy Systems, LUT University, Lappeenranta, Finland; Department of Computer Science, Aalto University, Espoo, Finland",2025 21st International Conference on the European Energy Market (EEM),"7 Jul 2025","2025","","","1","6","Microgrids powered by renewable energy-based solar photo-voltaics (PV) and battery energy storage systems are a viable techno-economical solution in providing electricity to off-the-grid and rural areas in sub-Saharan Africa (SSA). Smart and productive use of available energy capacity of off-grid microgrids is the key element in the context of rural electrification, where customers' ability to pay and purchase power are limited. For cost-efficient utilization and distribution of renewable energy resources, this paper describes a methodology of an intermicrogrid energy management system (inter-MGEMS) applied in the concept of electrification with inter-connected self-sufficient microgrids. An an agent, that is, software, acts on behalf of microgrids' customers, to first enable, and also simplify their engagement to the energy trading. It utilizes a long short-term memory (LSTM) model to predict the consumer load profiles over the day and night periods, and based on that estimates the profiles for the energy available to be shared among the interconnected microgrids. The available energy bids are placed at the inter-MGEMS. The energy trading in the inter-MGEMS is based on non-cooperative game theory approach, where each microgrid independently attempts to maximize its profit. The blockchain is used as a ground technology for the energy trading platform.","2165-4093","979-8-3315-1278-1","10.1109/EEM64765.2025.11050162","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11050162","Blockchain;off-grid;peer-to-peer;dynamic pricing;rural electrification","Renewable energy sources;Electricity;Microgrids;Pricing;Electrification;Peer-to-peer computing;Blockchains;Energy management systems;Long short term memory;Load modeling","","","","27","IEEE","7 Jul 2025","","","IEEE","IEEE Conferences"
"Development of an energy self-sufficient sensor system to identify gradual changes in the behaviour of a vehicles shock absorber","S. Kremzow-Tennie; T. Scholz; M. Hellwig; F. Pautzke","Electric vehicle institute, Bochum univeristy of applied sciences, Bochum, Germany; Electric vehicle institute, Bochum univeristy of applied sciences, Bochum, Germany; Electric vehicle institute, Bochum univeristy of applied sciences, Bochum, Germany; Electric vehicle institute, Bochum univeristy of applied sciences, Bochum, Germany",2020 21st International Conference on Research and Education in Mechatronics (REM),"12 Jan 2021","2020","","","1","6","This paper portrays the development of an energy self-sufficient sensor system, designed to identify gradual changes in the behaviour of a vehicles shock absorber. Based on the idea of a sensor application that generates the required power at the location of its instalment, a wireless sensor system with an electromagnetic energy harvester was designed. In order to realize a wireless information transmission a transmitter was installed on the circuit board. As the system is designed to be used while driving the vehicle, a mobile application is developed to display the data transmitted by the sensor system. The gathered data can be observed live and stored in order to be compared to previously gathered data, providing the ability to observe trends in the behaviour of the shock-absorber.","","978-1-7281-6224-9","10.1109/REM49740.2020.9313075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9313075","micro energy harvesting;shock-absorber;energy self-sufficient sensor system","Shock absorbers;Sensor systems;Temperature sensors;Capacitors;Temperature measurement;Magnetic flux;Acceleration","","","","11","IEEE","12 Jan 2021","","","IEEE","IEEE Conferences"
