"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"A.M., Striuk, Andrii M.; S.O., Semerikov, Serhiy O.","Striuk, Andrii M. (57194524952); Semerikov, Serhiy O. (56375008500)","57194524952; 56375008500","The dawn of software engineering education","2019","CEUR Workshop Proceedings","2546","","","35","57","0","25","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079573562&partnerID=40&md5=a5b166358b81294803ecb690a154682b","Designing a mobile-oriented environment for professional and practical training requires determining the stable (fundamental) and mobile (technological) components of its content and determining the appropriate model for specialist training. In order to determine the ratio of fundamental and technological in the content of software engineers’ training, a retrospective analysis of the first model of training software engineers developed in the early 1970s was carried out and its compliance with the current state of software engineering development as a field of knowledge and a new the standard of higher education in Ukraine, specialty 121 “Software Engineering”. It is determined that the consistency and scalability inherent in the historically first training program are largely consistent with the ideas of evolutionary software design. An analysis of its content also provided an opportunity to identify the links between the training for software engineers and training for computer science, computer engineering, cybersecurity, information systems and technologies. It has been established that the fundamental core of software engineers’ training should ensure that students achieve such leading learning outcomes: to know and put into practice the fundamental concepts, paradigms and basic principles of the functioning of language, instrumental and computational tools for software engineering; know and apply the appropriate mathematical concepts, domain methods, system and object-oriented analysis and mathematical modeling for software development; put into practice the software tools for domain analysis, design, testing, visualization, measurement and documentation of software. It is shown that the formation of the relevant competencies of future software engineers must be carried out in the training of all disciplines of professional and practical training. © 2020 Elsevier B.V., All rights reserved.","Professional Training; Software; Software Engineering; Specialist Training Model; Standard Of Higher Education; Computer Aided Software Engineering; Computer Software; Education Computing; Engineering Education; Engineers; Modeling Languages; Personnel Training; Professional Aspects; Regulatory Compliance; Software Design; Software Engineering; Software Testing; Students; Documentation Of Software; Engineering Development; Higher Education; Information Systems And Technologies; Object-oriented Analysis; Professional Training; Retrospective Analysis; Training Model; Object Oriented Programming","Computer aided software engineering; Computer software; Education computing; Engineering education; Engineers; Modeling languages; Personnel training; Professional aspects; Regulatory compliance; Software design; Software engineering; Software testing; Students; Documentation of software; Engineering development; Higher education; Information systems and technologies; Object-oriented analysis; Professional training; Retrospective analysis; Training model; Object oriented programming","Conference paper","Final","","Scopus","2-s2.0-85079573562"
"L.A., Gladkov, Leonid A.; N.V., Gladkova, Nadezhda V.; S.A., Gromov, S. A.","Gladkov, Leonid A. (57201181836); Gladkova, Nadezhda V. (56534979000); Gromov, S. A. (57194087429)","57201181836; 56534979000; 57194087429","Hybrid models of solving optimization tasks on the basis of integrating evolutionary design and multiagent technologies","2019","Advances in Intelligent Systems and Computing","985","","","381","391","0","2","10.1007/978-3-030-19810-7_38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065903662&doi=10.1007%2F978-3-030-19810-7_38&partnerID=40&md5=7453dbd4dc921a4a46038d57b0d859ff","The paper is devoted to the problem of building hybrid intelligent systems for solving multi-objective optimization problems. The authors present the definition of a hybrid system, and the main problems and tasks of its development. The main idea is that integration of methods of computational intelligence and multiagent systems (MAS) can be promising and useful for developing intelligent systems. The paper describes the concepts of designing agents, multi-agent systems, and the design process with elements of self-organization (interaction, crossing, adaptation to the environment, etc.). The authors propose a method of forming child agents as a result of the interaction of parent agents, develop various types of crossover operators, and present the idea of creating agencies (families) as units of the MAS evolving. To implement the proposed ideas, hybrid fuzzy-evolutionary models of forming agents and agencies based on the use of fuzzy coding principles are created and described in the paper. The authors developed a software system to support evolutionary design of agents and multi-agent systems for estimating the effectiveness of the hybrid approach. The results demonstrate the effectiveness of the proposed approach. © 2019 Elsevier B.V., All rights reserved.","Computational Intelligence; Evolutionary Computing; Fuzzy Genetic Algorithms; Hybrid Models; Multi-agent Systems; Artificial Intelligence; Design; Genetic Algorithms; Hybrid Systems; Intelligent Agents; Intelligent Systems; Multiobjective Optimization; Evolutionary Computing; Evolutionary Design; Evolutionary Models; Fuzzy - Genetic Algorithms; Hybrid Intelligent System; Hybrid Model; Multi-agent Technologies; Multi-objective Optimization Problem; Multi Agent Systems","Artificial intelligence; Design; Genetic algorithms; Hybrid systems; Intelligent agents; Intelligent systems; Multiobjective optimization; Evolutionary computing; Evolutionary design; Evolutionary models; Fuzzy - genetic algorithms; Hybrid intelligent system; Hybrid model; Multi-agent technologies; Multi-objective optimization problem; Multi agent systems","Conference paper","Final","","Scopus","2-s2.0-85065903662"
"Y., Katada, Yoshiaki","Katada, Yoshiaki (7004307392)","7004307392","Evolutionary design method of probabilistic finite state machine for swarm robots aggregation","2018","Artificial Life and Robotics","23","4","","600","608","0","13","10.1007/s10015-018-0496-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054902718&doi=10.1007%2Fs10015-018-0496-0&partnerID=40&md5=5aa910fca34f6f373a89c6c80d45fd5a","This paper proposes to use evolutionary computations to determine the parameters of probabilistic finite state machine controllers for swarm robots. The robots are evolved to perform an aggregation task. This problem was formulated as an optimization problem and solved by the PSO. Several computer simulations were conducted to investigate the validity of the proposed method. The results obtained in this paper show us that the proposed method is useful for the aggregation problem and the best evolved controllers are feasible as well as interpretable. This would be transferable to real swarm robots problems. © 2018 Elsevier B.V., All rights reserved.","Aggregation; Evolutionary Swarm Robotics; Probabilistic Finite State Machine; Agglomeration; Computer Aided Software Engineering; Data Communication Equipment; Machine Design; Particle Swarm Optimization (pso); Robots; Evolutionary Design; Optimization Problems; Probabilistic Finite State Machines; Swarm Robotics; Swarm Robots; Swarm Intelligence","Agglomeration; Computer aided software engineering; Data communication equipment; Machine design; Particle swarm optimization (PSO); Robots; Evolutionary design; Optimization problems; Probabilistic finite state machines; Swarm robotics; Swarm robots; Swarm intelligence","Article","Final","","Scopus","2-s2.0-85054902718"
"M., Bidlo, Michal","Bidlo, Michal (9333469700)","9333469700","On Routine Evolution of Complex Cellular Automata","2016","IEEE Transactions on Evolutionary Computation","20","5","7377086","742","754","0","19","10.1109/TEVC.2016.2516242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995426555&doi=10.1109%2FTEVC.2016.2516242&partnerID=40&md5=a900f7913d097a066f6f79dc4539e3d9","This paper discusses a special technique, called conditionally matching rules (CMRs), for the representation of transition functions of cellular automata (CA) and its application to the evolutionary design of complex multistate CA. The problem of designing replicating loops in 2-D CA and the square calculation in 1-D CA will be treated as case studies. It will be shown that the evolutionary algorithm in combination with CMRs is able to successfully solve these tasks and provide some innovative results compared to existing solutions. In particular, a novel replication scheme will be presented that exhibits a higher replication speed in comparison with the existing replicating loops. As regards the square calculation, some results have been obtained that allow a substantial reduction of the number of steps of the cellular automaton against the currently known solution. The utilization of the CMRs in the proposed experiments represents the first case of a successful automatic evolutionary design of complex CA for solving nontrivial problems in which the existing conventional approaches have failed. © 2018 Elsevier B.V., All rights reserved.","Cellular Automaton; Evolutionary Algorithm (ea); Replicating Loop; Square Calculation; Calculations; Software Engineering; Case-studies; Conventional Approach; Evolutionary Design; Its Applications; Matching Rules; Replicating Loop; Substantial Reduction; Transition Functions; Cellular Automatons; Evolutionary Algorithm; Multi-state; Replicating Loop; Square Calculation; Cellular Automata","Calculations; Software engineering; Case-studies; Conventional approach; Evolutionary design; ITS applications; Matching rules; replicating loop; Substantial reduction; Transition functions; Cellular automatons; Evolutionary algorithm; Multi-state; Replicating loop; Square calculation; Cellular automata","Article","Final","","Scopus","2-s2.0-84995426555"
"W.N., Oizumi, Willian Nalepa; A.F., Garcia, Alessandro Fabricio; L., Sousa, Leonardo; B.B.P.P., Cafeo, Bruno Barbieri P.Pontes; Y., Zhao, Yixue","Oizumi, Willian Nalepa (55515918200); Garcia, Alessandro Fabricio (7404608626); Sousa, Leonardo (57194212913); Cafeo, Bruno Barbieri P.Pontes (55395460200); Zhao, Yixue (57189501261)","55515918200; 7404608626; 57194212913; 55395460200; 57189501261","Code anomalies flock together","2016","Proceedings - International Conference on Software Engineering","14-22-May-2016","","","440","451","0","77","10.1145/2884781.2884868","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971476736&doi=10.1145%2F2884781.2884868&partnerID=40&md5=66524374bc0e3effeec29c5791253d0a","Design problems affect every software system. Diverse software systems have been discontinued or reengineered due to design problems. As design documentation is often informal or nonexistent, design problems need to be located in the source code. The main difficulty to identify a design problem in the implementation stems from the fact that such problem is often scattered through several program elements. Previous work assumed that code anomalies-popularly known as code smells-may provide sufficient hints about the location of a design problem. However, each code anomaly alone may represent only a partial embodiment of a design problem. In this paper, we hypothesize that code anomalies tend to ""flock together"" to realize a design problem. We analyze to what extent groups of inter-related code anomalies, named agglomerations, suffice to locate design problems. We analyze more than 2200 agglomerations found in seven software systems of different sizes and from different domains. Our analysis indicates that certain forms of agglomerations are consistent indicators of both congenital and evolutionary design problems, with accuracy often higher than 80%. © 2016 Elsevier B.V., All rights reserved.","Agglomeration; Codes (symbols); Computer Software; Software Engineering; Design Documentation; Design Problems; Different Domains; Different Sizes; Diverse Software Systems; Evolutionary Design; Program Elements; Software Systems; Design","Agglomeration; Codes (symbols); Computer software; Software engineering; Design documentation; Design problems; Different domains; Different sizes; Diverse software systems; Evolutionary design; Program elements; Software systems; Design","Conference paper","Final","","Scopus","2-s2.0-84971476736"
