"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Software Engineering for Machine-Learning Applications: The Road Ahead","F. Khomh; B. Adams; J. Cheng; M. Fokaefs; G. Antoniol","Polytechnique Montréal, SWAT (Software Analytics and Technology) Lab.; Polytechnique Montréal, MCIS (Maintenance, Construction and Intelligence of Software) Lab.; Department of Computer Engineering and Software Engineering, Polytechnique Montréal's; Department of Computer Engineering and Software Engineering, Polytechnique Montréal's; Department of Computer Engineering and Software Engineering, Polytechnique Montréal's",IEEE Software,"27 Sep 2018","2018","35","5","81","84","The First Symposium on Software Engineering for Machine Learning Applications (SEMLA) aimed to create a space in which machine learning (ML) and software engineering (SE) experts could come together to discuss challenges, new insights, and practical ideas regarding the engineering of ML and AI-based systems. Key challenges discussed included the accuracy of systems built using ML and AI models, the testing of those systems, industrial applications of AI, and the rift between the ML and SE communities. This article is part of a theme issue on software engineering’s 50th anniversary.","1937-4194","","10.1109/MS.2018.3571224","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8474484","First Symposium on Software Engineering for Machine Learning Applications;SEMLA;machine learning;artificial intelligence;AI;software engineering;SE;software development;Invited Content","Learning systems;Software engineering;Software systems;Software development;Machine learning;Artificial intelligence","","73","","0","IEEE","27 Sep 2018","","","IEEE","IEEE Magazines"
"Artificial Intelligence Techniques in Software Engineering for Automated Software Reuse and Design","D. P. Wangoo","Department of CSE & IT, Amity School of Engineering and Technology Amity University, Noida, Uttar Pradesh, India",2018 4th International Conference on Computing Communication and Automation (ICCCA),"29 Jul 2019","2018","","","1","4","Mining of software engineering data have proved successful for reusability of components in software development. Artificial Intelligence improves a large application domain of software engineering activities. Intelligent knowledge discovery integrates Artificial Intelligence with Data Mining for intelligent computing of software engineering tasks. The integration of artificial intelligence with data mining for supporting software engineering applications leads to Software Intelligence. This paper analyzes three artificial intelligence techniques that uses data mining, business intelligence, machine learning for promoting automated software reuse for software construction and overall software development. The business intelligence tools are used for intelligent knowledge discovery of code that will be used for reusability of applications and components. An analysis of several AI techniques in software reuse domain of software engineering is discussed for automated software reuse and identification of potential research prospects in the field.","2642-7354","978-1-5386-6947-1","10.1109/CCAA.2018.8777584","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8777584","Software Reuse;Artificial Intelligence (AI);Business Intelligence (BI);Software Intelligence (SI)","Software engineering;Artificial intelligence;Data mining;Software reusability;Task analysis;Business intelligence","","22","","15","IEEE","29 Jul 2019","","","IEEE","IEEE Conferences"
"A Decade of Progress: A Systematic Literature Review on the Integration of AI in Software Engineering Phases and Activities (2013-2023)","U. K. Durrani; M. Akpinar; M. Fatih Adak; A. Talha Kabakus; M. Maruf Öztürk; M. Saleh","Department of Computer and Information Sciences, Higher Colleges of Technology, Dubai, United Arab Emirates; Department of Computer and Information Sciences, Higher Colleges of Technology, Dubai, United Arab Emirates; Department of Computer Engineering, Sakarya University, Sakarya, Türkiye; Department of Computer Engineering, Duzce University, Düzce, Türkiye; Department of Computer Engineering, Suleyman Demirel University, Isparta, Türkiye; Department of Computer and Information Sciences, Higher Colleges of Technology, Dubai, United Arab Emirates",IEEE Access,"22 Nov 2024","2024","12","","171185","171204","The synergy between software engineering (SE) and artificial intelligence (AI) catalyzes software development, as numerous recent studies illustrate an intensified intersection between these domains. This systematic literature review examines the integration of AI techniques or methodologies across SE phases and related activities spanning from 2013 to 2023, resulting in the selection of 110 research papers. Investigating the profound influence of AI techniques, including machine learning, deep learning, natural language processing, optimization algorithms, and expert systems, across various SE phases—such as planning, requirement engineering, design, development, testing, deployment, and maintenance—is the focal point of this study. Notably, the extensive adoption of machine learning and deep learning algorithms in the development and testing phases has enhanced software quality through defect prediction, code recommendation, and vulnerability detection initiatives. Furthermore, natural language processing’s role in automating requirements classification and sentiment analysis has streamlined SE practices. Optimization algorithms have also demonstrated efficacy in refining SE activities such as feature location and software repair action predictions, augmenting precision and efficiency in maintenance endeavors. Prospective research emphasizes the imperative of interpretable AI models and the exploration of novel AI paradigms, including explainable AI and reinforcement learning, to promote ethical and efficient software development practices. This paper fills the gap identified in AI techniques dedicated to improving SE phases. The review concludes that AI in SE is revolutionizing the discipline, enhancing software quality, efficiency, and innovation, with ongoing efforts targeting the mitigation of identified limitations and the augmentation of AI capabilities for intelligent and dependable SE.","2169-3536","","10.1109/ACCESS.2024.3488904","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10740293","AI;artificial intelligence;deep learning;expert systems;integration;machine learning;natural language processing;optimization algorithms;planning;requirement engineering;software deployment;software development;software engineering;software maintenance;software testing;systematic literature review","Artificial intelligence;Systematics;Software;Maintenance;Testing;Optimization;Software engineering;Resource management;Encoding;Codes","","10","","159","CCBYNCND","1 Nov 2024","","","IEEE","IEEE Journals"
"Systematic Mapping: Artificial Intelligence Techniques in Software Engineering","H. Sofian; N. A. M. Yunus; R. Ahmad","Department of Software Engineering, Faculty of Computer Science and Information Technology, University of Malaya, Kuala Lumpur, Malaysia; Faculty of Business and Technology, University of Cyberjaya, Selangor, Cyberjaya, Malaysia; Department of Software Engineering, Faculty of Computer Science and Information Technology, University of Malaya, Kuala Lumpur, Malaysia",IEEE Access,"17 May 2022","2022","10","","51021","51040","Artificial Intelligence (AI) has become a core feature of today’s real-world applications, making it a trending topic within the software engineering (SE) community. The rise in the availability of AI techniques encompasses the capability to make rapid, automated, impactful decisions and predictions, leading to the adoption of AI techniques in SE. With industry revolution 4.0, the role of software engineering has become critical for developing productive, efficient, and quality software. Thus, there is a major need for AI techniques to be applied to enhance and improve the critical activities within the software engineering phases. Software is developed through intelligent software engineering phases. This paper concerns a systematic mapping study that aimed to characterize the publication landscape of AI techniques in software engineering. Gaps are identified and discussed by mapping these AI techniques against the SE phases to which they contributed. Many systematic mapping review papers have been produced only for a specific AI technique or a specific SE phase or activity. Hence, to our best of knowledge within the last decade, there is no systematic mapping review that has fully explored the overall trends in AI techniques and their application to all SE phases.","2169-3536","","10.1109/ACCESS.2022.3174115","Universiti Malaya(grant numbers:GPF097A-2020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9771431","Artificial intelligence;machine learning;deep learning;data mining;software engineering;requirements engineering;analysis and design;software development;software testing;software maintenance;software deployment","Artificial intelligence;Software;Systematics;Software engineering;Data mining;Predictive models;Training","","26","","88","CCBYNCND","10 May 2022","","","IEEE","IEEE Journals"
"Component-based Approach to Software Engineering of Machine Learning-enabled Systems","V. Indykov","University of Gothenburg | Chalmers, Gothenburg, Sweden",2024 IEEE/ACM 3rd International Conference on AI Engineering – Software Engineering for AI (CAIN),"18 Jun 2024","2024","","","250","252","Machine Learning (ML) - enabled systems capture new frontiers of industrial use. The development of such systems is becoming a priority course for many vendors due to the unique capabilities of Artificial Intelligence (AI) techniques. The current trend today is to integrate ML functionality into complex systems as architectural components. There are a lot of relevant challenges associated with this strategy in terms of the overall system architecture and in the context of development workflow (MLOps). The probabilistic nature, crucial dependency on data, and work in an environment of high uncertainty do not allow software engineers to apply traditional software development methodologies. As a result, there is a community request to systematize the most relevant experience in building software architectures with ML components, to create new approaches to organizing the process of developing ML-enabled systems, and to build new models for assessing the system quality. Our research contributes to all mentioned directions and aims to create a methodology for the efficient implementation of ML-enabled software and AI components. The results of the research can be used in the design and development in industrial settings, as well as a basis for further studies in the research field, which is of both practical and scientific value.1CCS CONCEPTS• Software and its engineering → Requirements analysis; Software design engineering; Design patterns; Software design tradeoffs.","","979-8-4007-0591-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10556246","machine learning;software architecture;software quality","Knowledge engineering;Software design;Uncertainty;Software architecture;Systems architecture;Machine learning;Software quality","","","","22","","18 Jun 2024","","","IEEE","IEEE Conferences"
"Explainable AI for Software Engineering","C. K. Tantithamthavorn; J. Jiarpakdee","Monash University, Melbourne, Australia; Monash University, Melbourne, Australia",2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),"20 Jan 2022","2021","","","1","2","The success of software engineering projects largely depends on complex decision-making. For example, which tasks should a developer do first, who should perform this task, is the software of high quality, is a software system reliable and resilient enough to deploy, etc. However, erroneous decision-making for these complex questions is costly in terms of money and reputation. Thus, Artificial Intelligence/Machine Learning (AI/ML) techniques have been widely used in software engineering for developing software analytics tools and techniques to improve decision-making, developer productivity, and software quality. However, the predictions of such AI/ML models for software engineering are still not practical (i.e., coarse-grained), not explainable, and not actionable. These concerns often hinder the adoption of AI/ML models in software engineering practices. In addition, many recent studies still focus on improving the accuracy, while a few of them focus on improving explainability. Are we moving in the right direction? How can we better improve the SE community (both research and education)?In this tutorial, we first provide a concise yet essential introduction to the most important aspects of Explainable AI and a hands-on tutorial of Explainable AI tools and techniques. Then, we introduce the fundamental knowledge of defect prediction (an example application of AI for Software Engineering). Finally, we demonstrate three successful case studies on how Explainable AI techniques can be used to address the aforementioned challenges by making the predictions of software defect prediction models more practical, explainable, and actionable. The materials are available at https://xai4se.github.io.","2643-1572","978-1-6654-0337-5","10.1109/ASE51524.2021.9678580","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678580","Explainable AI;Software Engineering","Productivity;Decision making;Tutorials;Software quality;Learning (artificial intelligence);Predictive models;Software systems","","48","","17","IEEE","20 Jan 2022","","","IEEE","IEEE Conferences"
"Artificial Intelligence in System and Software Engineering for Auto Code Generation","A. S. Ghai; V. Rawat; V. K. Gupta; K. Ghai","School of Computing, Graphic Era Hill University, Dehradun, India; Department of Computer, Science Engineering, Graphic Era Deemed to be University, Dehradun, India; School of Engineering and Technology, Amity University. Punjab, Mohali, India; Department of Chemistry, Graphic Era Hill University, Dehradun, India",2024 International Conference on Electrical Electronics and Computing Technologies (ICEECT),"4 Nov 2024","2024","1","","1","5","Artificial Intelligence has profoundly impacted system and software engineering by facilitating the automation of complicated tasks, reducing errors, and accelerating the development process. AI-driven tools help enhance efficiency, improve code quality, and promote the generation of more adaptive and innovative software solutions. The present research uses AI-generated tools to explore how AI transforms code synthesis. The study will include a comparative analysis of the performance of manual coding and other automated methods to explore how AI can accelerate code synthesis and make modern web development more competent or effective. It is suggested in the research that with algorithmic and contextual consideration, the quality of code developed by the AI would be higher in most cases than by people due to lower error rates and shorter synthesis. Overall, the central conclusion of the research is that AI plays a crucial role in transforming systems and software engineering. The paper also includes information on ethical dilemmas, robust validation mechanisms, conservative modes, and current research.","","979-8-3503-7809-2","10.1109/ICEECT61758.2024.10738945","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10738945","Artificial intelligence;system and software engineering;ai code generation;manual code","Ethics;Codes;Error analysis;Software algorithms;Transforms;Manuals;Software;Encoding;Artificial intelligence;Software engineering","","7","","21","IEEE","4 Nov 2024","","","IEEE","IEEE Conferences"
"A Practical Teaching Model of Software Engineering Courses for Artificial Intelligence Literacy Cultivation in Pre-Service Teachers","J. Zhang; Y. Sun; L. Duan; H. Liu; C. Liu; A. Zhang; P. Yuan","School of Computer and Information Engineering, Henan Normal University, Xinxiang, Henan, China; School of Computer and Information Engineering, Henan Normal University, Xinxiang, Henan, China; Key School of Computing and Information Technology, Beijing Jiaotong University, Beijing, China; School of Computer and Information Engineering, Henan Normal University, Xinxiang, Henan, China; School of Computer and Information Engineering, Henan Normal University, Xinxiang, Henan, China; School of Computer and Information Engineering, Henan Normal University, Xinxiang, Henan, China; School of Computer and Information Engineering, Henan Normal University, Xinxiang, Henan, China",2025 IEEE International Conference on Software Services Engineering (SSE),"20 Aug 2025","2025","","","211","218","This study aims to guide pre-service teachers in effectively utilizing Generative Artificial Intelligence (GAI) tools to enhance their Artificial Intelligence (AI) literacy. By ana-lyzing the impact of GAI on the AI literacy of pre-service teachers, this study proposes a “teacher-student-machine” triadic interactive teaching model based on self-organized learning and deep empowerment through GAI. Using an experimental class in a software engineering course as a case study, we construct an end-to-end experimental environment for the project-driven teaching lifecycle, covering requirement analysis, system design, development and implementation, as well as software testing and maintenance phases. GAI is used to support the completion of experimental tasks while fostering pre-service teachers' AI literacy in five core competencies: data literacy, digital communication and collaboration, critical thinking, computational thinking, and ethical literacy. The study demonstrates that this model effectively improves the AI literacy of pre-service teachers, provides a reference for innovating software engineering practice teaching, and offers a useful framework for the application of GAI in education.","","979-8-3315-6789-7","10.1109/SSE67621.2025.00034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11120412","artificial intelligence literacy;pre-service teachers;Self-Organization Learning Theory;generative artificial in-telligence;software engineering course","Software testing;Generative AI;Computational modeling;Education;Learning (artificial intelligence);Software;Maintenance;Artificial intelligence;System analysis and design;Software engineering","","","","13","IEEE","20 Aug 2025","","","IEEE","IEEE Conferences"
"Impact of Artificial Intelligence on Software Engineering Phases and Activities (2013–2024): A Quantitative Analysis Using Zero- Truncated Poisson Model","U. K. Durrani; M. Akpinar; H. Bektas; M. Saleh","Faculty of Computer and Information Sciences, Higher Colleges of Technology, Abu Dhabi, United Arab Emirates; Faculty of Computer and Information Sciences, Higher Colleges of Technology, Abu Dhabi, United Arab Emirates; Department of Econometrics, Istanbul University, Istanbul, Türkiye; Faculty of Computer and Information Sciences, Higher Colleges of Technology, Abu Dhabi, United Arab Emirates",IEEE Access,"5 Jun 2025","2025","13","","95535","95547","This paper presents the results of a quantitative analysis derived from data collected in our earlier systematic literature review, focusing on integrating Artificial Intelligence (AI) techniques across various phases of Software Engineering (SE). Employing a Zero-Truncated Poisson (ZTP) model, we analyzed 120 selected research papers to assess the impact of AI methodologies on SE phases. The findings indicate significant improvements attributable to AI in different phases of SE. Specifically, AI techniques have been found to enhance the accuracy of the planning, requirement engineering, and development phases and improve the efficiency of the requirement engineering and design phases. Notably, AI’s integration has markedly improved the accuracy and efficiency of the requirement engineering phase, underscoring AI’s critical role in advancing SE practices. This study contributes to a deeper understanding of the quantitative impact of AI on SE, providing valuable insights for practitioners and researchers in understanding AI technologies to enhance SE phases.","2169-3536","","10.1109/ACCESS.2025.3574462","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11016671","AI;artificial intelligence;deep learning;expert systems;integration;machine learning;natural language processing;optimization algorithms;planning;requirement engineering;software deployment;software development;software engineering;software maintenance;software testing;zero-truncated Poisson model;quantitative analysis","Artificial intelligence;Accuracy;Software;Natural language processing;Requirements engineering;Systematic literature review;Optimization;Codes;Software algorithms;Resource management","","","","64","CCBY","28 May 2025","","","IEEE","IEEE Journals"
"Preliminary Insights to enable automation of the Software Development Process in Software StartUpsAn Investigation Study from the use of Artificial Intelligence and Machine Learning","O. Borges; V. Lenarduzzi; R. Prikladnicki","PUCRS University, Porto Alegre, Brazil; University of Oulu, Oulu, Finland; PUCRS University, Porto Alegre, Brazil",2022 IEEE/ACM 1st International Conference on AI Engineering – Software Engineering for AI (CAIN),"17 Jun 2022","2022","","","37","38","Artificial Intelligence (AI) and Machine Learning (ML) tools and techniques have increasingly effectively supported Software Engineering (SE) tasks, whether for requirements classification, software refactoring, defect prediction, and many others. In the context of software StartUps, where innovative and scalable software products are developed, dealing with the pressure of fast delivery of a working solution becomes a challenging factor. We aim to investigate AI and ML techniques used by SE practitioners and entrepreneurs to support their Software Development Processes (SDP) and thus enable their use by software StartUps. We seek to identify this information through the application of an online Survey instrument, mainly disseminated in Brazil and Finland. This preliminary study provides insights that can support improving the SDP in StartUps.","","978-1-4503-9275-4","10.1145/3522664.3528610","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796414","Development Process;Artificial Intelligence;Machine Learning;StartUp;SWEBOK","Automation;Instruments;Machine learning;Software;Task analysis;Software engineering","","","","7","","17 Jun 2022","","","IEEE","IEEE Conferences"
