"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"State-Of-The-Art And Directions For The Conceptual Design Of Safety-Critical Unmanned And Autonomous Aerial Vehicles","S. B. Nazarudeen; J. Liscouët","Department of Mechanical, Industrial and Aerospace Engineering, Gina Cody School of Engineering and Computer Science, Concordia University, Montreal, Canada; Department of Mechanical, Industrial and Aerospace Engineering, Gina Cody School of Engineering and Computer Science, Concordia University, Montreal, Canada",2021 IEEE International Conference on Autonomous Systems (ICAS),"6 Oct 2021","2021","","","1","5","Unmanned and Autonomous Aerial Vehicles (UAV/AAV) must be safe and reliable to prevent catastrophic accidents in population-dense areas. The study reveals the absence of a comprehensive UAV/AAV design for reliability approach in the open literature; in particular, there is no conceptual design methodology including safety and reliability considerations in the sizing. This finding leads to investigating the relevance of pursuing this research direction and identifying the challenges to address. For this matter, a straightforward approach combining sizing, systematic redundancy, controllability, and reliability assessments compares a conventional to a redundant design in a case study. The reliability analysis confirms that the redundant design is fault-tolerant and potentially highly reliable. However, the total mass almost doubles due to the lack of sizing and redundancy optimization. Plus, there is a high risk of under-sizing due to the limitations of a straightforward approach. This result emphasizes the need to develop a new conceptual design methodology based on sizing, including safety and reliability considerations. The paper concludes with research directions towards this goal. Thus, optimized redundant designs will contribute to the emergence of UAV/AAV for safety-critical applications in the near future.","","978-1-7281-7289-7","10.1109/ICAS49788.2021.9551158","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551158","Unmanned Aerial Vehicle (UAV);Autonomous Aerial Vehicle (AAV);Reliability;Redundancy;Fault-tolerant;Multicopter;Conceptual Design;Sizing.","Vibrations;Design methodology;Redundancy;Fault tolerant systems;Reliability engineering;Controllability;Autonomous aerial vehicles","","6","","29","IEEE","6 Oct 2021","","","IEEE","IEEE Conferences"
"EDA for Autonomous Behavior Assurance","S. Saidi; D. Ziegenbein; J. V. Deshmukh; R. Ernst","Technical University Dortmund, Dortmund, Germany; Robert Bosch GmbH, Renningen, Germany; University of Southern California, Los Angeles, California, USA; Technical University Braunschweig, Braunschweig, Germany",2020 IEEE/ACM International Conference On Computer Aided Design (ICCAD),"25 Nov 2020","2020","","","1","3","Autonomous systems are self-governed and self-adaptive systems that must additionally comply with high assurance correctness and safety criteria. Such autonomous systems cannot be tested and verified in the traditional design process. While all systems hardware and software components can be implemented as usual, test and verification only cover the autonomous system functionality, but do not include the goal-driven autonomous behavior in all possible circumstances. This autonomous behavior is a primary design target. Thus, autonomous systems pose a number of emerging challenges and opportunities to the field of electronic design automation (EDA). Examples include specification of (evolving) requirements involving components and their interaction, defining different assurance levels for bounded operational environments, synthesis of mechanisms to guideline diagnosis and rigorously monitor systems integration after deployment.","1558-2434","978-1-6654-2324-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9256544","","Autonomous systems;Safety;Tools;Monitoring;Design automation;Data models;Uncertainty","","","","12","","25 Nov 2020","","","IEEE","IEEE Conferences"
"A Component-Based Event-Driven Architecture Design for Autonomous Flying Software","J. Wang; Z. Zhou; H. Yu; J. Li; C. Li; Q. Wang","Software Department, Beijing Institute of Control Engineering, Beijing, China; Software Department, Beijing Institute of Control Engineering, Beijing, China; Software Department, Beijing Institute of Control Engineering, Beijing, China; Software Department, Beijing Institute of Control Engineering, Beijing, China; Software Department, Beijing Institute of Control Engineering, Beijing, China; Software Department, Beijing Institute of Control Engineering, Beijing, China",2024 IEEE 2nd International Conference on Image Processing and Computer Applications (ICIPCA),"15 Oct 2024","2024","","","1","5","Some satellites are designed to be capable of autonomous flight in order to be intelligent. However, many autonomous flight tasks need to be designed because of the complexity of satellite system, which brings heavy software development workload. A component-based event-driven architecture is proposed in this paper, which exacts software components from the complex system for reuse, and designs basic events for the event-driven architecture. This method simplifies the software development logic and significantly improves the development efficiency of autonomous flight software.","","979-8-3503-6024-0","10.1109/ICIPCA61593.2024.10709244","National Natural Science Foundation of China(grant numbers:U21B2015); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10709244","Autonomous flight;software components;eventdriven architecture","Satellites;Image processing;Computer architecture;Computer applications;Software;Complexity theory;Logic;Complex systems;Software development management","","","","18","IEEE","15 Oct 2024","","","IEEE","IEEE Conferences"
"Design and Development of Networked Multiple FPGA Components for Autonomous Tiny Robot Car","T. Ohkawa; S. Tayama; H. Mori; D. Lee; H. Amano; I. Hirakawa; M. Sato; H. Watanabe","Department of Embedded Technology, Tokai University, Tokyo, Japan; Department of Embedded Technology, Tokai University, Tokyo, Japan; Department of Embedded Technology, Tokai University, Tokyo, Japan; Department of Embedded Technology, Tokai University, Tokyo, Japan; Department of Embedded Technology, Tokai University, Tokyo, Japan; Department of Embedded Technology, Tokai University, Tokyo, Japan; Department of Embedded Technology, Tokai University, Tokyo, Japan; Department of Embedded Technology, Tokai University, Tokyo, Japan",2019 International Conference on Field-Programmable Technology (ICFPT),"3 Feb 2020","2019","","","473","475","This article presents the design and the development of a system composed of multiple FPGA components for autonomous robot cars. In the FPT'19 FPGA design competition, there are several tasks for image recognition such as driving lane, traffic signal, human or object on the road. To promote team development, component-oriented FPGA development is employed. In this paper, we describe the whole system design by integrating FPGA components for autonomous driving, the design of each FPGA component and its development process.","","978-1-7281-2943-3","10.1109/ICFPT47387.2019.00096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8977834","FPGA;component;network;robot car;autonomous driving;image recognition","Image recognition;Roads;Autonomous automobiles;Automobiles;Field programmable gate arrays;System analysis and design;Autonomous robots","","2","","10","IEEE","3 Feb 2020","","","IEEE","IEEE Conferences"
"Invited: Hardware/Software Co-Synthesis and Co-Optimization for Autonomous Systems","W. Chang; S. Zhao; S. Burton; H. Wang; T. Chen; N. Chen; N. Audsley","College of Computer Science and Electronic Engineering, Hunan University, China; Department of Computer Science, University of York, UK; Research Division for Safety, Fraunhofer Institute for Cognitive Systems IKS, Germany; Department of Computer Science, University of York, UK; School of Computer Science and Engineering, University of Electronic Science and Technology of China, China; Department of Computer Science, University of York, UK; Department of Computer Science, University of York, UK",2021 58th ACM/IEEE Design Automation Conference (DAC),"8 Nov 2021","2021","","","1319","1322","With ever more complicated functionalities being integrated in modern autonomous systems, traditional design methods may not remain sufficient to deliver trusted and high-performance systems with stringent temporal, safety and cost efficiency requirements. In this paper, we discuss the limitations of the traditional design methods with the above requirements enforced, in which hardware and software design are often considered separately. To tackle these limitations, this paper presents a novel design solution that synthesizes both software-level and hardware-level design. First, we highlight and analyze the interconnections between software-level methods (e.g. priority assignment and task allocation) and hardware design (e.g. cache and memory management), in terms of the resulting system performance, e.g. latency. Second, by applying the identified interconnections, we propose an optimization framework to produce high-quality synthesized solutions of both software and hardware design based on a set of candidate design methods. In addition, we describe potential research directions derived from the work and major challenges that can be investigated jointly by engineers and researchers from embedded systems, system safety and programming languages communities.","0738-100X","978-1-6654-3274-0","10.1109/DAC18074.2021.9586147","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9586147","","Software design;Autonomous systems;Design methodology;System performance;Hardware;Software;Safety","","3","","16","IEEE","8 Nov 2021","","","IEEE","IEEE Conferences"
"Autonomous System for Head-to-Head Race: Design, Implementation and Analysis; Team KAIST at the Indy Autonomous Challenge","C. Jung; A. Finazzi; H. Seong; D. Lee; S. Lee; B. Kim; G. Kang; H. Shim","Korea Advanced Institute of Science and Technology - EE Deajon Yousunggu Deahakro 291 ki c322, Daejeon 34141 Korea (the Republic of); Korea Advanced Institute of Science and Technology - EE Deajon Yousunggu Deahakro 291 ki c322, Daejeon 34141 Korea (the Republic of); Korea Advanced Institute of Science and Technology - EE Deajon Yousunggu Deahakro 291 ki c322, Daejeon 34141 Korea (the Republic of); Korea Advanced Institute of Science and Technology - EE Deajon Yousunggu Deahakro 291 ki c322, Daejeon 34141 Korea (the Republic of); Korea Advanced Institute of Science and Technology - EE Deajon Yousunggu Deahakro 291 ki c322, Daejeon 34141 Korea (the Republic of); Korea Advanced Institute of Science and Technology - EE Deajon Yousunggu Deahakro 291 ki c322, Daejeon 34141 Korea (the Republic of); Korea Advanced Institute of Science and Technology - EE Deajon Yousunggu Deahakro 291 ki c322, Daejeon 34141 Korea (the Republic of); Korea Advanced Institute of Science and Technology - EE Deajon Yousunggu Deahakro 291 ki c322, Daejeon 34141 Korea (the Republic of)",Field Robotics,"25 Feb 2025","2023","3","","766","800","While the majority of autonomous driving research has concentrated on everyday driving scenarios, further safety and performance improvements of autonomous vehicles require a focus on extreme driving conditions. In this context, autonomous racing is a new area of research that has been attracting considerable interest recently. Due to the fact that a vehicle is driven by its perception, planning, and control limits during racing, numerous research and development issues arise. This paper provides a comprehensive overview of the autonomous racing system built by team KAIST for the Indy Autonomous Challenge (IAC). Our autonomy stack consists primarily of a multi-modal perception module, a high-speed overtaking planner, a resilient control stack, and a system status manager. We present the details of all components of our autonomy solution, including algorithms, implementation, and unit test results. In addition, this paper outlines the design principles and the results of a systematical analysis. Even though our design principles are derived from the unique application domain of autonomous racing, they can also be applied to a variety of safety-critical, high-cost-of-failure robotics applications. The proposed system was integrated into a full-scale autonomous race car (Dallara AV-21) and field-tested extensively. As a result, team KAIST was one of three teams who qualified and participated in the official IAC race events without any accidents. Our proposed autonomous system successfully completed all missions, including overtaking at speeds of around 220 km/h in the IAC@CES2022, the world's first autonomous 1:1 head-to-head race (Figure 1).","2771-3989","","10.55417/fr.2023024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10876090","autonomous racing;Indy Autonomous Challenge;system design;field experiment;computer vision","Autonomous vehicles;Trajectory;System analysis and design;Vehicle dynamics;Planning;Optimal control;Automobiles;Vehicles;Trajectory planning;Testing","","1","","","CCBY","25 Feb 2025","","","FRPS","FRPS Journals"
"Autonomous Systems Design: Charting a New Discipline","S. Saidi; D. Ziegenbein; J. V. Deshmukh; R. Ernst","Technische Universität Dortmund, Dortmund, Germany; Robert Bosch GmbH, Renningen, Germany; University of Southern California, Los Angeles, CA, USA; Technische Universität Braunschweig, Braunschweig, Germany",IEEE Design & Test,"10 Feb 2022","2022","39","1","8","23","Editor’s notes: Autonomous systems are becoming pervasive in many domains. This article presents a survey regarding various emerging research directions centered around the broad topic of autonomous systems. —Partha Pratim Pande, Washington State University","2168-2364","","10.1109/MDAT.2021.3128434","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9615198","","Autonomous systems;Safety;Computer architecture;Task analysis;Monitoring;Feedback loop","","6","","59","IEEE","16 Nov 2021","","","IEEE","IEEE Magazines"
"Hydrodynamic shape genealogy for teardrop-shaped Autonomous Underwater Vehicles","T. Liu; Y. Liu; L. Zhang; H. Zhang; Z. Wu; Y. Wang","Key Laboratory of Mechanism Theory and Equipment Design of Ministry of Education, Tianjin University, Tianjin, China; Key Laboratory of Mechanism Theory and Equipment Design of Ministry of Education, Tianjin University, Tianjin, China; Key Laboratory of Mechanism Theory and Equipment Design of Ministry of Education, Tianjin University, Tianjin, China; Key Laboratory of Mechanism Theory and Equipment Design of Ministry of Education, Tianjin University, Tianjin, China; Key Laboratory of Mechanism Theory and Equipment Design of Ministry of Education, Tianjin University, Tianjin, China; Key Laboratory of Mechanism Theory and Equipment Design of Ministry of Education, Tianjin University, Tianjin, China",OCEANS 2017 - Aberdeen,"26 Oct 2017","2017","","","1","6","More diverse marine tasks and longer range water missions require the hydrodynamic shape, viz. hull shape, of Autonomous Underwater Vehicles (AUVs) for both efficient design and least resistance. Therefore a systematic design for the hydrodynamic shape of AUVs is needed and necessary to meet the various requirements. In the present work, a hierarchical classification for the hull shape of AUVs was proposed according to the shape characteristics of the main hull of AUVs. Focused on the teardrop-shaped AUVs, hydrodynamic drags of a series of hull shapes were computed and analyzed using the computational fluid dynamics (CFD) simulation method with different hull shape parameters and Reynolds numbers (Re). The general mathematical model of volumetric coefficient of hydrodynamic drag and hull shape parameters, i.e., length diameter ratio (L/D), nose length diameter ratio (Ln/D), tail length diameter ratio (Lt/D) and Reynolds number (Re), was established and verified. The present work makes it possible to efficiently design the hull shape with minimum drag.","","978-1-5090-5278-3","10.1109/OCEANSE.2017.8084736","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8084736","autonomous underwater vehicles;hydrodynamic shape genealogy;volumetric coefficient model;efficient design","Shape;Hydrodynamics;Drag;Nose;Indexes;Underwater autonomous vehicles;Systematics","","2","","13","IEEE","26 Oct 2017","","","IEEE","IEEE Conferences"
"Autonomous System for Head-to-Head Race: Design, Implementation, and Analysis; Team KAIST at the Indy Autonomous Challenge","C. Chanyoung Chung; A. Finazzi; H. Seong; D. Lee; S. Lee; B. Kim; G. Gang; D. Hyunchul Shim","FieldAI, Mission Viejo, CA, USA; Technology Innovation Institute, Masdar City, Abu Dhabi, United Arab Emirates; Korea Advanced Institute of Science and Technology, Daejeon, South Korea; Electronics and Telecommunications Research Institute, Daejeon, South Korea; Korea Advanced Institute of Science and Technology, Daejeon, South Korea; Samsung Electronics, Hwaseong-si, South Korea; Korea Advanced Institute of Science and Technology, Daejeon, South Korea; Korea Advanced Institute of Science and Technology, Daejeon, South Korea",IEEE Transactions on Field Robotics,"8 Aug 2025","2025","2","","574","600","Autonomous racing has emerged as a promising field of research, attracting growing interest. In racing, vehicles operate at the limits of perception, planning, and control, raising unique research and engineering challenges. This article presents an overview ofthe autonomous racing system developed by team KAIST for the Indy Autonomous Challenge (IAC), as shownin Fig. 1. The KAIST racing stack features multimodal perception modules, a high-speed overtaking planner, a resilient control system, and a system monitoring framework. We provide detailed insights into each component, including the algorithms, implementation, and evaluation results. Furthermore, the article presents design principles shaped by three years of high-speed autonomous racing experience, offering insights applicable to other safety-critical, high-risk robotics domains. Our autonomous system was integrated into a full-scale race car (Dallara AV-21) and extensively field-tested. As a result, team KAIST was one of only three teams to qualify for and compete in the official IAC races without incident. Our system successfully fulfilled all race objectives, including overtaking at speeds of up to 220 km/h in the IAC@CES2022, the world’s first autonomous head-to-head race.","2997-1101","","10.1109/TFR.2024.3497922","SK Hynix Inc.; Institute of Information communications Technology Planning Evaluation (IITP) Grant by the Korean Government [Ministry of Science and ICT (MSIT)](grant numbers:2021-0-00029); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10756789","Autonomous racing;autonomous systems;field-harden;real-time computation;resilience system","Autonomous vehicles;Trajectory;Safety;Planning;Vehicle dynamics;Testing;Optimization;Autonomous systems;Autonomous robots;Real-time systems;Resilience;Sports;Collision avoidance;Vehicle safety","","5","","74","IEEE","18 Nov 2024","","","IEEE","IEEE Journals"
"Design of an autonomous electric single-seat vehicle based on environment recognition algorithms","J. Valera; L. Huaman; L. Pasapera; E. Prada; L. Soto; L. Agapito","IEEE Student of Mechatronic Engineering at Pontificia Universidad Católica del Perú, Lima, Peru; IEEE Student of Mechatronic Engineering at Pontificia Universidad Católica del Perú, Lima, Peru; IEEE Student of Mechatronic Engineering at Pontificia Universidad Católica del Perú, Lima, Peru; IEEE Student of Mechatronic Engineering at Pontificia Universidad Católica del Perú, Lima, Peru; IEEE Student of Mechatronic Engineering at Pontificia Universidad Católica del Perú, Lima, Peru; IEEE Student of Mechatronic Engineering at Pontificia Universidad Católica del Perú, Lima, Peru",2019 IEEE Sciences and Humanities International Research Conference (SHIRCON),"5 Mar 2020","2019","","","1","4","Today's autonomous vehicles are equipped with a variety of sensors, control techniques and actuators depending on the objectives and requirements of the addressing issue. In research, some even employ commercial cars to house their devices. The high cost of all these components represents a limitation in the development of an autonomous vehicle system. Therefore, researchers have no option but to rely on experimentation under simulated environments or to use small vehicles that in many cases do not accurately represent a real parametric dynamic system. This article describes the design of an autonomous electric vehicle prototype, which includes control systems, microcontrollers, encoders, motor controllers, LIDAR, and cameras, with the aim of having a reference in the literature that is low-cost and whose program code is employable in a real-life context. The present vehicle, whose structure is based on a conventional tubular go-kart, has been provided with the capability of moving autonomously by using computer vision and artificial intelligence algorithms. This document records the first steps of the design taking into account parameters of a real-life environment and the flexibility of A.I. algorithms.","","978-1-7281-3818-3","10.1109/SHIRCON48091.2019.9024852","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9024852","Autonomous vehicle;control system;computer vision;vehicle design;artificial intelligence","Resistance;Sensors;DC motors;Autonomous vehicles;Force;Classification algorithms;Batteries","","6","","11","IEEE","5 Mar 2020","","","IEEE","IEEE Conferences"
