"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Can AI Close the Design-Code Abstraction Gap?","J. Ivers; I. Ozkaya; R. L. Nord","Software Engineering Institute, Carnegie Mellon University, Pittsburgh, PA, USA; Software Engineering Institute, Carnegie Mellon University, Pittsburgh, PA, USA; Software Engineering Institute, Carnegie Mellon University, Pittsburgh, PA, USA",2019 34th IEEE/ACM International Conference on Automated Software Engineering Workshop (ASEW),"27 Jan 2020","2019","","","122","125","Aligning the design of a system with its implementation improves product quality and simplifies product evolution. While developers are empowered with AI/ML augmented tools and techniques that increasingly assist them in implementation tasks, the abstraction gap between code and design limits automation for design tasks. In this position paper, we argue that the software engineering community can take advantage of the experiences built with AI/ML techniques to advance automation in design analysis. We summarize research challenges and describe two efforts that apply machine learning to codebases to extract design constructs and detect deviation from intended designs and to use search-based refactoring to make design improvements for extracting functionality.","2151-0830","978-1-7281-4136-7","10.1109/ASEW.2019.00041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8967435","design extraction;design conformance;machine learning;feature engineering;refactoring;search-based software engineering","Automation;Codes;Conferences;Machine learning;Feature extraction;Product design;Quality assessment;Software engineering","","1","","31","IEEE","27 Jan 2020","","","IEEE","IEEE Conferences"
"Artificial Intelligence Techniques in Software Engineering for Automated Software Reuse and Design","D. P. Wangoo","Department of CSE & IT, Amity School of Engineering and Technology Amity University, Noida, Uttar Pradesh, India",2018 4th International Conference on Computing Communication and Automation (ICCCA),"29 Jul 2019","2018","","","1","4","Mining of software engineering data have proved successful for reusability of components in software development. Artificial Intelligence improves a large application domain of software engineering activities. Intelligent knowledge discovery integrates Artificial Intelligence with Data Mining for intelligent computing of software engineering tasks. The integration of artificial intelligence with data mining for supporting software engineering applications leads to Software Intelligence. This paper analyzes three artificial intelligence techniques that uses data mining, business intelligence, machine learning for promoting automated software reuse for software construction and overall software development. The business intelligence tools are used for intelligent knowledge discovery of code that will be used for reusability of applications and components. An analysis of several AI techniques in software reuse domain of software engineering is discussed for automated software reuse and identification of potential research prospects in the field.","2642-7354","978-1-5386-6947-1","10.1109/CCAA.2018.8777584","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8777584","Software Reuse;Artificial Intelligence (AI);Business Intelligence (BI);Software Intelligence (SI)","Software engineering;Artificial intelligence;Data mining;Software reusability;Task analysis;Business intelligence","","22","","15","IEEE","29 Jul 2019","","","IEEE","IEEE Conferences"
"Software Development Automation Using Generative AI","K. R. Raghi; K. Sudha; S. A. M; S. Joshua S","Computer Science and Engineering, St. Joseph’s College of Engineering, Chennai, India; Computer Science and Engineering, St. Joseph’s College of Engineering, Chennai, India; Computer Science and Engineering, St. Joseph’s College of Engineering, Chennai, India; Computer Science and Engineering, St. Joseph’s College of Engineering, Chennai, India",2024 International Conference on Emerging Research in Computational Science (ICERCS),"27 Feb 2025","2024","","","1","6","The Software Development Lifecycle (SDLC) is a structured process that guides the development of software projects, encompassing phases from planning to deployment. Traditionally, the SDLC has relied on manual input, making it prone to delays, errors, and inefficiencies. With the recent advancements in Generative AI (GenAI) and Large Language Models (LLMs) such as GPT, it is now feasible to automate substantial portions of the SDLC. This paper presents a novel approach to automating the SDLC using LLMs and the Langchain framework, aiming to streamline the entire software development process. By au-tomating key phases, including project planning, requirements gathering, code generation, testing, and deployment, this research explores how AI can minimize human intervention and accelerate software development timelines. The paper also discusses the potential advantages of AI-driven SDLC automation, such as improved efficiency, consistency, and scalability, while addressing challenges related to its integration. The proposed approach offers a glimpse into the future of software engineering, where AI plays a central role in transforming how software is developed and delivered.","","979-8-3315-3496-7","10.1109/ICERCS63125.2024.10894980","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10894980","Software Development Lifecycle (SDLC);Generative AI (GenAI);Large Language Models (LLMs);GPT;Langchain;SDLC automation;AI-driven software development;code generation","Automation;Generative AI;Scientific computing;Scalability;Manuals;Software;Planning;Software development management;Testing;Software engineering","","2","","16","IEEE","27 Feb 2025","","","IEEE","IEEE Conferences"
"Software Testing and Lines of Codes-A Study on Software Engineering Design Patterns","S. Ahmed; L. Sadath; J. Nagaria","Computer Science Engineering, Amity University, Dubai, UAE; Faculty, Software Engineering, Amity University, Dubai, UAE; Computer Science Engineering, Amity University, Dubai, UAE","2019 International Conference on Automation, Computational and Technology Management (ICACTM)","29 Jul 2019","2019","","","389","394","There has been n number of software development designs and test patterns in software engineering. Frameworks are available on methods to calculate the time, effort and human power required to develop a software. Our work is a novel study on the basics of how proportional is the time required to test a software based on the LOCs (Lines of Codes) and the design used. The work aims to interlink the understanding between two kinds of structural testing. This basic study experiment was conducted using 20 different programs. We argue and prove that there is an interconnection between the design, Lines of Code (LOC) and testing.","","978-1-5386-8010-0","10.1109/ICACTM.2019.8776688","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8776688","software testing;software design;structural test;top-down design;bottom-up design;LOC","Software design;Software testing;Couplings;Software engineering;Computer bugs","","2","","23","IEEE","29 Jul 2019","","","IEEE","IEEE Conferences"
"Generative AI Efficiency and Effectiveness in Software Project Documentation Review Process","K. A. Demir; T. N. V. Muppalla; B. Liu","Department of Computer Science, Texas A&M University - Corpus Christi, Corpus Christi, USA; Department of Computer Science, Texas A&M University - Corpus Christi, Corpus Christi, USA; Department of Computer Science, Texas A&M University - Corpus Christi, Corpus Christi, USA","2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)","24 Sep 2025","2025","","","1","7","In this research, we report the capabilities of Large Language Model (LLM)-based Generative Artificial Intelligence (GenAI) tools, such as ChatGPT and Gemini, in the software project documentation review process. In software projects, the document artifact review process is an essential part of the quality assurance process. This review process is a human effort-intensive process. Introducing automation in this process will help reduce human effort, speed up the development, and reduce the potential of errors in the documents. With its enhanced natural language processing capabilities, LLM-based GenAI tools provide significant potential in the above process. In this research, we investigate the efficiency and effectiveness of LLM-based GenAI tools (such as ChatGPT and Gemini) for software documentation review process. Our experimental design includes comparing the manual document review process with the automated document review process conducted by LLM-based GenAI tools. The research results indicate that utilizing LLM-based GenAI tools provides significant efficiency in the document review process. However, LLM-based GenAI tools can only reach half the effectiveness and review quality that can be achieved by a human. To the best of our knowledge, this study is one of the first studies investigating the effectiveness and efficiency of utilizing GenAI for the software documentation review process. This research provides significant insights into improving the software document artifact review process utilizing LLM-based GenAI techniques.","","979-8-3315-3562-9","10.1109/ACDSA65407.2025.11165833","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11165833","Generative AI;software documentation;document review;software engineering;software development;software process improvement","Quality assurance;Reviews;Generative AI;Large language models;Documentation;Manuals;Chatbots;Software;Software development management;Software engineering","","","","43","IEEE","24 Sep 2025","","","IEEE","IEEE Conferences"
"Design and Implementation of a User Centered Design Framework for Software Development","V. S. B. Chilluri; S. Oli; C. Sharma; A. Kumar","Intuit Inc., Intuit Inc., Mountain View, CA, USA; Department of Mathematics, Dayananda Sagar College of Engineering, Bangalore, India; CSE Department, MMICTBM (MCA), Maharishi Markandeshwar (Deemed to be University), Mullana-Ambala, Haryana; Department of Computer Science and Engineering, Chandigarh University, Mohali, India","2025 First International Conference on Advances in Computer Science, Electrical, Electronics, and Communication Technologies (CE2CT)","2 Apr 2025","2025","","","1232","1236","The concept and methodology known as Usercentred Design (UCD) puts the user at the center and concentrates on cognitive aspects as they relate to how people interact with objects. In order to overcome biassed decisionmaking, automated AI-based decision support systems need to be able to be used, trusted, and accepted. Design criteria for AI-based decision support systems in traditional craftsmanship are therefore required. In this contribution, we examined the relationships between user acceptance and a user-centred design by evaluating three distinct applications in a mixedmethod user research ($\mathbf{N} \mathbf{D}=20$) that included both qualitative (think aloud) and quantitative (survey) components. Starting with research-related planning agreements, the context is established by interviewing the parties who agreed in the first stage, the needs are ascertained through user assessments, the System Usability Scale (SUS) method is used to determine the results, a prototype is designed based on the findings of the third step, and UI evaluation is conducted using the same method when evaluating the UI AI running in the third stage to demonstrate whether or not there has been a significant improvement. It took into account technological adoption, usability, and planning objectivity and efficiency. The findings imply that while AI-based decision support systems improve speed and objectivity, usability, acceptance, and confidence depend on user-centred design. Given that automated options were not as often questioned, it makes sense to give the decision maker the last say. It produces practical recommendations for the development of AI-based manufacturing support systems.","","979-8-3315-1857-8","10.1109/CE2CT64011.2025.10941419","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10941419","User centered design;System usable scale;software development;Usability;Artificial intelligence","Decision support systems;Surveys;User centered design;Prototypes;Spread spectrum communication;Planning;Usability;Artificial intelligence;Sustainable development;Software development management","","12","","28","IEEE","2 Apr 2025","","","IEEE","IEEE Conferences"
"The MQT Handbook : A Summary of Design Automation Tools and Software for Quantum Computing","R. Wille; L. Berent; T. Forster; J. Kunasaikaran; K. Mato; T. Peham; N. Quetschlich; D. Rovara; A. Sander; L. Schmid; D. Schönberger; Y. Stade; L. Burgholzer","Chair for Design Automation, Technical University of Munich, Germany; Chair for Design Automation, Technical University of Munich, Germany; Chair for Design Automation, Technical University of Munich, Germany; Chair for Design Automation, Technical University of Munich, Germany; Chair for Design Automation, Technical University of Munich, Germany; Chair for Design Automation, Technical University of Munich, Germany; Chair for Design Automation, Technical University of Munich, Germany; Chair for Design Automation, Technical University of Munich, Germany; Chair for Design Automation, Technical University of Munich, Germany; Chair for Design Automation, Technical University of Munich, Germany; Chair for Design Automation, Technical University of Munich, Germany; Chair for Design Automation, Technical University of Munich, Germany; Chair for Design Automation, Technical University of Munich, Germany",2024 IEEE International Conference on Quantum Software (QSW),"28 Aug 2024","2024","","","1","8","Quantum computers are becoming a reality and numerous quantum computing applications with a near-term perspective (e.g., for finance, chemistry, machine learning, and optimization) and with a long-term perspective (e.g., for cryptography or unstructured search) are currently being investigated. However, designing and realizing potential applications for these devices in a scalable fashion requires automated, efficient, and user-friendly software tools that cater to the needs of end users, engineers, and physicists at every level of the entire quantum software stack. Many of the problems to be tackled in that regard are similar to design problems from the classical realm for which sophisticated design automation tools have been developed in the previous decades.The Munich Quantum Toolkit (MQT) is a collection of software tools for quantum computing developed by the Chair for Design Automation at the Technical University of Munich which explicitly utilizes this design automation expertise. Our overarching objective is to provide solutions for design tasks across the entire quantum software stack. This entails high-level support for end users in realizing their applications, efficient methods for the classical simulation, compilation, and verification of quantum circuits, tools for quantum error correction, support for physical design, and more. These methods are supported by corresponding data structures (such as decision diagrams or the ZX-calculus) and core methods (such as SAT encodings/solvers). All of the developed tools are available as open-source implementations and are hosted on github.com/cda-tum.Note: A live version of this document is available at mqt.readthedocs.io.","","979-8-3503-6847-5","10.1109/QSW62656.2024.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10646543","","Quantum computing;Design automation;Full stack;Reliability engineering;Software reliability;Task analysis;Software tools","","23","","81","IEEE","28 Aug 2024","","","IEEE","IEEE Conferences"
"Design Oracle for AI-Based CPS Design","T. Bapty; S. Whittington; J. Walker; J. Hite; B. Swenson; K. Owens; F. Eisele; J. Scott; R. Owens","Institute for Software Integrated Systems, Vanderbilt University, Nashville, TN, USA; Southwest Research Institute, San Antonio, TX, USA; Southwest Research Institute, San Antonio, TX, USA; Institute for Software Integrated Systems, Vanderbilt University, Nashville, TN, USA; Southwest Research Institute, San Antonio, TX, USA; Institute for Software Integrated Systems, Vanderbilt University, Nashville, TN, USA; Institute for Software Integrated Systems, Vanderbilt University, Nashville, TN, USA; Institute for Software Integrated Systems, Vanderbilt University, Nashville, TN, USA; Institute for Software Integrated Systems, Vanderbilt University, Nashville, TN, USA",2022 IEEE Workshop on Design Automation for CPS and IoT (DESTION),"28 Jun 2022","2022","","","13","18","Automated design processes, especially using Machine Learning/AI techniques, require proposed systems to be evaluated across all relevant attributes, requirements, and concerns. Traditionally, teams create models in a set of engineering tools for design evaluation data. We describe a Design Oracle, where automated designers can submit a system as a graph of components and request a full range of evaluations, composing analysis workflows containing multiple engineering tools across multiple physical domains, fidelity, and scenarios. Manually created system models are not required. The system works across cloud architectures, supporting the use of parallel computation.The system leverages technology developed under the DARPA Adaptive Vehicle Make/META program, which created a uniform, multi-domain design and component representation, and tools for composition to engineering tool models across multiple tool types, domains, and fidelity levels [1]. The Design Oracle has been used within the DARPA Symbiotic Design for Cyber-Physical Systems, across two classes of target designs, Unmanned Air Vehicles and Unmanned Underwater Vehicles.","","978-1-6654-7040-7","10.1109/DESTION56136.2022.00009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9805410","Cyber-Physical Systems;Design Automation;Model-Based Computing;Simulation;Analysis","Symbiosis;Analytical models;Adaptation models;Design automation;Computational modeling;Atmospheric modeling;Conferences","","","","8","IEEE","28 Jun 2022","","","IEEE","IEEE Conferences"
"Towards a Knowledge Warehouse and Expert System for the Automation of SDLC Tasks","R. Kapur; B. Sodhi","Department of Computer Science and Engineering, Indian Institute of Technology Ropar; Department of Computer Science and Engineering, Indian Institute of Technology Ropar",2019 IEEE/ACM International Conference on Software and System Processes (ICSSP),"26 Aug 2019","2019","","","5","8","Cost of a skilled and competent software developer is high, and it is desirable to minimize dependency on such costly human resources. One of the ways to minimize such costs is via automation of various software development tasks. Recent advances in Artificial Intelligence (AI) and the availability of a large volume of knowledge bearing data at various software development related venues present a ripe opportunity for building tools that can automate software development tasks. For instance, there is significant latent knowledge present in raw or unstructured data associated with items such as source files, code commit logs, defect reports, comments, and so on, available in the Open Source Software (OSS) repositories. We aim to leverage such knowledge-bearing data, the latest advances in AI and hardware to create knowledge warehouses and expert systems for the software development domain. Such tools can help in building applications for performing various software development tasks such as defect prediction, effort estimation, code review, etc.","","978-1-7281-3393-5","10.1109/ICSSP.2019.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8812829","Automated Software Engineering, Software Maintenance, Data Mining, Supervised Learning","Software;Feature extraction;Data mining;Task analysis;Tools;Estimation;Measurement","","6","","27","IEEE","26 Aug 2019","","","IEEE","IEEE Conferences"
"A Tool for Automated Inspection of Software Design Documents and Its Empirical Evaluation in an Aviation Industry Setting","M. E. Coskun; M. M. Ceylan; K. Yigitözu; V. Garousi","Turkish Aerospace Industries Inc. (TAI), Ankara, Turkey; Turkish Aerospace Industries Inc. (TAI), Ankara, Turkey; Tusas-Turk Havacilik ve Uzay Sanayii AS, Ankara, Ankara, TR; Software Engineering Research Group, Hacettepe University, Ankara, Turkey","2016 IEEE Ninth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","4 Aug 2016","2016","","","287","294","While software inspection is an effective activity to detect defects early in the software development lifecycle, it is an effort-intensive and error-prone activity. Motivated by a real need in the context of the Turkish Aerospace Industries Inc. (TAI), a tool named AutoInspect was developed to (semi-) automate the inspection of software design documents and, as a result, to increase the efficiency and effectiveness of the inspection process. We present in this paper the features of the tool, its development details and its initial evaluation for inspecting the design documents of three real systems in the company. The results of the initial case-study reveal that the tool is indeed able to increase the inspections efficiency and effectiveness. In terms of efficiency, inspection engineers who used AutoInspect performed 41-50% more efficiently, for the three design documents under study, compared to the case when the tool was not used (i.e., manual inspections). In terms of effectiveness, compared to manual inspections, the automated approach found between 23-33% more defects in the three design documents under study. As the tool currently only provides partial automation, our efforts are currently underway to increase its automation level even further.","","978-1-5090-3674-5","10.1109/ICSTW.2016.12","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7528975","Software inspections;design verification;automated inspections;industry case study;improving efficiency and effectiveness;Computer-aided software engineering (CASE)","Inspection;Manuals;Software design;Companies;Automation;Aerospace industry","","1","","20","IEEE","4 Aug 2016","","","IEEE","IEEE Conferences"
