"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Application of Computer Aided Design Software in Interior Design","X. Fang",Chongqing college of architecture and technology,2021 2nd International Conference on Urban Engineering and Management Science (ICUEMS),"11 May 2021","2021","","","181","184","With the gradual enrichment of people's material life, more and more people have raised their requirements for spiritual life. As an essential element in people's lives, housing is no longer a place to live. People want their living space to be more and more tasteful, style and connotation, and their appreciation of interior aesthetics is also improving. The development of computer design provides a way to meet people's increasing indoor aesthetic needs. This paper analyzes the application of computer aided design software in interior design, briefly expounds the application advantages of computer aided software in interior design, introduces the commonly used computer aided software, and puts forward the application ways of computer aided design in interior design, hoping to help related practitioners.","","978-1-6654-1289-6","10.1109/ICUEMS52408.2021.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426771","computer;aided design software;interior design","Industries;Design automation;Software;Personnel","","2","","6","IEEE","11 May 2021","","","IEEE","IEEE Conferences"
"Designing Control Software for Robot Swarms: Software Engineering for the Development of Automatic Design Methods","D. Bozhinoski; M. Birattari","IRIDIA, Universite Libre de Bruxelles, Bruxelles, Belgium; IRIDIA, Universite Libre de Bruxelles, Bruxelles, Belgium",2018 IEEE/ACM 1st International Workshop on Robotics Software Engineering (RoSE),"26 Aug 2018","2018","","","33","35","Over the past decade, swarm robotics has emerged as a promising engineering discipline. In this paper, we discuss the current research challenges and state-of-the-art in automatic design methods for swarm control software. This subject has recently received increasing attention from the swarm robotics community.We make a contribution towards the debate by proposing two lines of research from a software engineering point of view.","","978-1-4503-5760-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8445817","swarm robotics;software engineering;design by optimization","Robot kinematics;Software;Robot sensing systems;Design methodology;Optimization;Software engineering","","","","10","","26 Aug 2018","","","IEEE","IEEE Conferences"
"How to Apply Human-Centered Design Process (HCDP) to Software Development Process?","S. Fukuzumi; N. Noda; Y. Tanikawa","NEC Corporation, Data Science research laboratories, Kawasaki, Japan; Business Innovation strategy division, NEC Corporation, Kawasaki, Japan; College of Engineering and Design, Shibaura Institute of Technology, Tokyo, Japan",2017 IEEE/ACM 1st International Workshop on Design and Innovation in Software Engineering (DISE),"3 Jul 2017","2017","","","13","16","This is a position paper of research related to usability and software engineering. Important problem to develop software with high usability is that it is difficult to apply human centered design process to software development process. To solve this, we propose three issues, they are 1) clarification of ""demand"" and evaluation process about user requirements, 2) how to fill gaps between software engineers and usability experts about HCD, 3) solution of twin peaks problem (gap between requirements and architecture). For these issues, it is necessary to discuss detail targets.","","978-1-5386-0400-7","10.1109/DISE.2017.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965468","Human centered design;usability;development process;software engineer","Usability;Software engineering;ISO Standards;Ergonomics;Human computer interaction","","6","","19","IEEE","3 Jul 2017","","","IEEE","IEEE Conferences"
"Computer Aided Design of Application Software for Integrated Navigation Systems","S. Kravchuk; A. Petrov; I. Solov’ev; M. Shatskii","Moscow Experimental Design Bureau MOKB Mars, Branch of Dukhov Russian National Research Institute of Automation, Moscow, Russia; Moscow Experimental Design Bureau MOKB Mars, Branch of Dukhov Russian National Research Institute of Automation, Moscow, Russia; Moscow Experimental Design Bureau MOKB Mars, Branch of Dukhov Russian National Research Institute of Automation, Moscow, Russia; Moscow Experimental Design Bureau MOKB Mars, Branch of Dukhov Russian National Research Institute of Automation, Moscow, Russia",2023 30th Saint Petersburg International Conference on Integrated Navigation Systems (ICINS),"6 Jul 2023","2023","","","1","3","The paper presents a technology of computer aided design (CAD) for integrated navigation systems (INS). The paper describes the information system designed for automation of software development, its verification and testing. The paper discusses the stages of software development including automated documents generation according to standards requirements. At present the CAD technology is used in the MOKB ""Mars"" for development of prospective INS for space applications.","","978-5-91995-095-0","10.23919/ICINS51816.2023.10168458","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10168458","integrated navigation systems;software;automation","Space vehicles;Design automation;Software design;Navigation;Databases;Software algorithms;Software","","","","5","","6 Jul 2023","","","IEEE","IEEE Conferences"
"Evolutionary Design of a Second-Order Butterworth Lowpass Filter","Y. Li; X. Zhang; H. Liu","Physics School, Beihua University, Jilin City, China; Physics School, Beihua University, Jilin City, China; Physics School, Beihua University, Jilin City, China",2015 8th International Symposium on Computational Intelligence and Design (ISCID),"12 May 2016","2015","2","","532","535","The traditional design method of filter had too much human intervention, a very tedious design process. Precision of parameters was lower for the designed filter, bandpass edge of attenuation characteristics was not enough steep and filtering quality was lower. In order to overcome these shortcomings, an evolutionary design method for an analog filter is presented in the paper, according to basic principles of evolutionary design for circuit. The method is structure of a second-order Butterworth lowpass filter is devised by genetic programming. Optimization design of parameters for the filter is realized by improved adaptive genetic algorithm. Performance indexes for the filter are analyzed by simulation software. Design results have been simulated and verified. Experiment shows that values of evolutionary parameters are in line with theoretical values exceedingly for the filter, and simulation results are satisfying.","","978-1-4673-9587-8","10.1109/ISCID.2015.126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7469190","lowpass filter;evolutionary design;genetic programming;genetic algorithms;simulation experiment","Band-pass filters;Filtering theory;Filtering algorithms;Sociology;Statistics;Design methodology;Matched filters","","2","","6","IEEE","12 May 2016","","","IEEE","IEEE Conferences"
"Evolutionary algorithm with convergence speed controller for automated software test data generation problem","Fangqing Liu; Han Huang; Zhifeng Hao","School of South China, University of Techology Software engineering, Guangzhou, China; School of South China, University of Techology Software engineering, Guangzhou, China; School of Mathematics and Big Data, Foshan University, Foshan, China",2017 IEEE Congress on Evolutionary Computation (CEC),"7 Jul 2017","2017","","","869","875","Software testing is an important process of software development. One of the challenges in testing software is to generate test cases which help to reveal errors. Automated software test data generation problem is hard because it needs to search the whole feasible area to find test cases covering all possible paths under acceptable time consumption. In this paper, evolutionary algorithm with convergence speed controller (EA-CSC) is presented for using the least test case overhead in solving automated test case generation problem. EA-CSC is designed as a framework which have fast convergence speed and capability to jump out of the local optimal solution over a range of problems. There are two critical steps in EA-CSC. The adaptive step size searching method accelerates the convergence speed of EA. The mutation operator can disrupt the population distribution and slows down the convergence process of EA. Moreover, the EA-CSC results are compared to the algorithms tested on the same benchmark problems, showing strong competitive.","","978-1-5090-4601-0","10.1109/CEC.2017.7969400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7969400","Evolutionary Algorithm(EA);Convergence Speed Controller(CSC);Test Data Generation","Evolutionary computation;Software;Convergence;Testing;Sociology;Statistics;Search problems","","1","","17","IEEE","7 Jul 2017","","","IEEE","IEEE Conferences"
"Evolutionary Black-Box Topology Optimization: Challenges and Promises","D. Guirguis; N. Aulig; R. Picelli; B. Zhu; Y. Zhou; W. Vicente; F. Iorio; M. Olhofer; W. Matusik; C. A. Coello Coello; K. Saitou","University of Michigan at Ann Arbor, Ann Arbor, USA; Honda Research Institute Europe GmbH, Offenbach, Germany; Department of Mining and Petroleum Engineering, Polytechnic School of the University of São Paulo, São Paulo, Brazil; CSAIL, Massachusetts Institute of Technology, Cambridge, USA; Department of Mechanical Engineering, University of Michigan at Ann Arbor, Ann Arbor, USA; School of Agricultural Engineering, University of Campinas, Campinas, Brazil; Autodesk Research, Toronto, Canada; Honda Research Institute Europe GmbH, Offenbach, Germany; CSAIL, Massachusetts Institute of Technology, Cambridge, USA; Departamento de Computación (Evolutionary Computation Group), CINVESTAV-IPN, Mexico City, Mexico; Department of Mechanical Engineering, University of Michigan at Ann Arbor, Ann Arbor, USA",IEEE Transactions on Evolutionary Computation,"29 Jul 2020","2020","24","4","613","633","Black-box topology optimization (BBTO) uses evolutionary algorithms and other soft computing techniques to generate near-optimal topologies of mechanical structures. Although evolutionary algorithms are widely used to compensate the limited applicability of conventional gradient optimization techniques, methods based on BBTO have been criticized due to numerous drawbacks. In this article, we discuss topology optimization as a black-box optimization problem. We review the main BBTO methods, discuss their challenges and present approaches to relax them. Dealing with those challenges effectively can lead to wider applicability of topology optimization, as well as the ability to tackle industrial, highly constrained, nonlinear, many-objective, and multimodal problems. Consequently, future research in this area may open the door for innovating new applications in science and engineering that may go beyond solving classical optimization problems of mechanical structures. Furthermore, algorithms designed for BBTO can be added to existing software toolboxes and packages of topology optimization.","1941-0026","","10.1109/TEVC.2019.2954411","São Paulo Research Foundation (FAPESP)(grant numbers:2018/05797-8); Consejo Nacional de Ciencia y Tecnología(grant numbers:2016-01-1920); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8906012","CADCAM;design automation;design optimization;evolutionary computation;large scale optimization;product design;topology optimization;topology","Topology;Evolutionary computation;Space exploration;Gradient methods;Linear programming;Genetic algorithms","","35","","311","IEEE","19 Nov 2019","","","IEEE","IEEE Journals"
"Application of Speech Recognition Translator based on Evolutionary Multi-objective Optimization Algorithm","L. Liu","Foreign Language School, Jilin Agricultural Science and Technology University, Jilin, China",2023 International Conference on Evolutionary Algorithms and Soft Computing Techniques (EASCT),"22 Jan 2024","2023","","","1","6","By utilizing evolutionary algorithms to achieve intelligent control of English translation software and improve the accuracy and adaptability of translation, an English translation speech recognition and translation algorithm based on evolutionary multi-objective algorithms is proposed and applied. The improved evolutionary algorithm can significantly improve the accuracy of word recognition without increasing iterations. A multi-objective learning parameter model for speech recognition English translators has been established. A multi-objective optimization model for information processing was constructed through repeated iterations and probabilistic reasoning of speech sources. Through adaptive correction control method, single objective control is carried out under multi-objective optimization, and the output of speech recognition English translator is optimized based on multi-objective optimization constraints. The simulation results show that the parameter estimation accuracy of using this method for English translation software design and multi-objective routing optimization is high, with a maximum speech recognition accuracy of 97.13% and a maximum recognition time of only 20.314ms.","","979-8-3503-1341-3","10.1109/EASCT59475.2023.10392501","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10392501","evolutionary algorithm;English translation;speech recognition;deviation correction;simulation","Graphics;Solid state drives;Operating systems;Software algorithms;Speech recognition;Evolutionary computation;Feature extraction","","1","","12","IEEE","22 Jan 2024","","","IEEE","IEEE Conferences"
"An Academic Framework for IC Physical Design Algorithms Development","D. Bulakh; A. Korshunov; A. Datsuk","Department of IC design, National Research University of Electronic Technology, Zelenograd, Moscow, Russian Federation; Department of IC design, National Research University of Electronic Technology, Zelenograd, Moscow, Russian Federation; IHP - Leibniz-Institut für innovative Mikroelektronik, Frankfurt (Oder), Germany",2021 International Seminar on Electron Devices Design and Production (SED),"3 Jun 2021","2021","","","1","4","Analyzing electronic design automation (EDA) computer aided design (CAD) contests it can be seen that the dominant part of tasks and problems belongs to physical design. This is due to the increments of the complexity of semiconductor devices that discovers an increasing number of new problems to be solved in nanometer scale layouts. As the number of the tasks and their complexity grows the new EDA tools should enhanced to solve the main algorithmic tasks. In this paper we present a new extensible EDA framework for physical level design algorithms development, testing and implementation. The framework provides ready-made solutions for secondary, auxiliary tasks such as file I/O and layout data manipulation. Developed EDA framework was integrated in educational process and made it possible to develop physical design algorithms using technological files.The reported study was done with a support of the state assignment of MIET (Theme No. FSMR-2020-0017/AAAA-A20-120071490038-5)","","978-1-6654-3942-8","10.1109/SED51197.2021.9444528","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9444528","Electronic Design Automation;Computer Aided Design;Physical Design;IC Layout","Integrated circuits;Visualization;Design automation;Layout;Software algorithms;Tools;Complexity theory","","1","","4","IEEE","3 Jun 2021","","","IEEE","IEEE Conferences"
"Evolutionary Computation and Reinforcement Learning for Cyber-physical System Design","C. Lu","Department of Engineering Complex Software Systems, Simula Research Laboratory, Oslo, Norway",2023 IEEE/ACM 45th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),"12 Jul 2023","2023","","","264","266","Cyber-physical systems (CPSs) are designed to in-tegrate computation and physical processes through constantly interacting with the physical environment. The complexity and uncertainty of the environment often come up with unpredictable situations, which place high demands on the dynamic adaptability of CPSs. Further, as the environment evolves, the CPS needs to constantly evolve itself to adapt to the changing environment. This paper presents a research plan that aims to develop a novel framework to address CPS design challenges under uncertain environments. We propose to utilize evolutionary computation and reinforcement learning techniques to design control policies that can adapt to the dynamic changes and uncertainties of the environment. Further, novel testing and evaluation approaches that can generate test cases while adapting to dynamic changes in the system and the environment will be explored.","2574-1934","979-8-3503-2263-7","10.1109/ICSE-Companion58688.2023.00071","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10172815","cyber-physical system;evolutionary computation;reinforcement learning;uncertainty","Uncertainty;Reinforcement learning;Evolutionary computation;Cyber-physical systems;Complexity theory;Testing;Software engineering","","","","27","IEEE","12 Jul 2023","","","IEEE","IEEE Conferences"
"Optimization of UV LED design using evolutionary algorithms","L. Leguay; H. Mączko; A. Schliwa; S. Birner","Institute of Solid-State Physics, Technical University of Berlin, Berlin, Germany; Nextnano GmbH, Munich, Germany; Institute of Solid-State Physics, Technical University of Berlin, Berlin, Germany; Nextnano GmbH, Munich, Germany",2023 IEEE Photonics Conference (IPC),"25 Dec 2023","2023","","","1","2","We present a computational approach combining evolutionary algorithms with calculation software nextnano++ to optimize the design of a nitride-based ultraviolet light-emitting diode (UV LED). Our findings reveal a significant improvement of the theoretical internal quantum efficiency of the nanostructure at the target wavelength 300 nm.","2575-274X","979-8-3503-4722-7","10.1109/IPC57732.2023.10360557","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10360557","Computational methods;evolutionary algorithms;evolution strategies;optimization;UV LED;internal quantum efficiency","Quantum computing;Software algorithms;Quantum mechanics;Evolutionary computation;Light emitting diodes;Software;Computational efficiency","","","","4","IEEE","25 Dec 2023","","","IEEE","IEEE Conferences"
"Simultaneous structure design optimization of multiple car models using the K computer","A. Oyama; T. Kohira; H. Kemmotsu; T. Tatsukawa; T. Watanabe","Institute of Space and Astronautical Science, Japan Aerospace Exploration Agency, Sagamihara, Japan; Technical Research Center, Mazda Motor Corporation, Fuchucho, Japan; Technical Research Center, Mazda Motor Corporation, Fuchucho, Japan; Institute of Space and Astronautical Science, Japan Aerospace Exploration Agency, Sagamihara, Japan; Institute of Space and Astronautical Science, Japan Aerospace Exploration Agency, Sagamihara, Japan",2017 IEEE Symposium Series on Computational Intelligence (SSCI),"8 Feb 2018","2017","","","1","4","A design tool for simultaneous structure design optimization of multiple car models is developed and applied to simultaneous design optimization of MAZDA CX-5 (SUV car), MAZDA6 wagon (large car), and MAZDA3 hatchback (small car) to demonstrate feasibility of the developed design tool. This problem is a multiobjective design optimization problem where the objectives are minimization of total weight of three car models and maximization of number of common thickness parts. To find the nondominated designs efficiently, an evolutionary multiobjective optimization algorithm named Cheetah is adopted. For analysis of the obtained nondominated and dominated designs, an interactive data mining tool iSPM is used. To evaluate crash performances accurately, a finite-element software LS-DYNA is used for each crash mode. To overcome difficulty in computational time, the K computer is used, where the required computational time is more than 360 hours using 73,728 cores of the K computer. As a result, many designs that outperform the initial design developed by Mazda Motor Corporation are found. In addition, the obtained nondominated designs reveal the trade-off between the two design objectives of the simultaneous structure design optimization problem of multiple car models.","","978-1-5386-2726-6","10.1109/SSCI.2017.8285350","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8285350","Car structure design;multiobjective design optimization;supercomputing","Automobiles;Design optimization;Vehicle crash testing;Design tools;Computational modeling;Minimization;Software","","24","","8","IEEE","8 Feb 2018","","","IEEE","IEEE Conferences"
"The Impact of Agile Software Development Process on the Quality of Software Product","P. Jain; A. Sharma; L. Ahuja","AIIT, Amity University, Noida, India; IT, IGDTUW, Delhi, India; AIIT, Amity University, Noida, India","2018 7th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","1 Jul 2019","2018","","","812","815","Developing a quality software product is an essential need for the software industry. Focusing on product's quality allows software users to adapt the product more easily and efficiently. Quality plays a vital role for the software users. It is a confirmation of all the requirements according to customer satisfaction. So, it's important to define a proper software development process that leads to a quality software product. Agile being one of the quickest methodologies for software development, allows the quality product to be delivered to the customer side. The objective of this paper is to discuss the impact of Agile Software Development Process (ASDP) on quality of software product by defining the mapping between agile software development process and various quality attributes. The paper presents an overall importance of software development process for a quality product.","","978-1-5386-4692-2","10.1109/ICRITO.2018.8748529","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8748529","Agile Software Development Process;Software Quality;Software Requirement Analysis;Software Design;Software Implementation;Software Testing;Software Maintainability","Agile software development;Software quality;Quality assessment;Product design;Software reliability","","30","","24","IEEE","1 Jul 2019","","","IEEE","IEEE Conferences"
"Software Testing Resource Allocation Algorithm based on Improved Evolutionary Algorithm","Y. Wang","The Logistics Group Of Beijing Jiaotong University, Beijing Jiaotong University, Beijing, China",2023 8th International Conference on Communication and Electronics Systems (ICCES),"1 Aug 2023","2023","","","674","678","Previous studies on software systems mostly focus on static models without fully considering dynamic changes. Aiming at the problem of the insufficient testing resources in the early stage, we proposed a software testing resource algorithm based on improved evolutionary algorithm. In the designed model, the multi-objective algorithm is constructed, the execution of the multi-objective optimization algorithm also needs to first establish the reliability model of the many-core software, and estimate the parameters of the reliability model from the failure data. In addition, it is necessary to establish a test cost model and determine its related parameters. At the same time, this paper chooses throughput, delay and packet loss rate as the performance measurement indicators of virtualized network functions and virtualized network function service chains. Through the test of controling the iteration times, the performance of the proposed model is tested.","","979-8-3503-9663-8","10.1109/ICCES57224.2023.10192849","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10192849","Evolutionary Algorithm;Software Testing;Resource Allocation Algorithm;System Optimization","Software testing;Heuristic algorithms;Software algorithms;Evolutionary computation;Software systems;Reliability engineering;Data models","","","","18","IEEE","1 Aug 2023","","","IEEE","IEEE Conferences"
