"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Solution Framework for All-to-All Comparison Data Distribution Strategy Based on Tabu Search","D. Deng; L. Li; H. Gao; H. Lin; Y. Yang; C. Meng; Y. Wang; S. Li","College of Data Science and Application, Inner Mongolia University of Technology, Inner Mongolia Autonomous Region Engineering and Technology Research Center of Big Data Based Software Service, Hohhot, China; College of Data Science and Application, Inner Mongolia University of Technology, Inner Mongolia Autonomous Region Engineering and Technology Research Center of Big Data Based Software Service, Hohhot, China; College of Data Science and Application, Inner Mongolia University of Technology, Inner Mongolia Autonomous Region Engineering and Technology Research Center of Big Data Based Software Service, Hohhot, China; College of Data Science and Application, Inner Mongolia University of Technology, Inner Mongolia Autonomous Region Engineering and Technology Research Center of Big Data Based Software Service, Hohhot, China; College of Data Science and Application, Inner Mongolia University of Technology, Inner Mongolia Autonomous Region Engineering and Technology Research Center of Big Data Based Software Service, Hohhot, China; College of Data Science and Application, Inner Mongolia University of Technology, Inner Mongolia Autonomous Region Engineering and Technology Research Center of Big Data Based Software Service, Hohhot, China; College of Data Science and Application, Inner Mongolia University of Technology, Inner Mongolia Autonomous Region Engineering and Technology Research Center of Big Data Based Software Service, Hohhot, China; College of Data Science and Application, Inner Mongolia University of Technology, Inner Mongolia Autonomous Region Engineering and Technology Research Center of Big Data Based Software Service, Hohhot, China",2021 IEEE 6th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA),"2 Jun 2021","2021","","","83","89","All-to-All Comparison (ATAC) is a key computing mode to improve computing performance and is applied in many disciplines. Through the research on the data distribution strategy of the ATAC calculation, a novel solution framework of the ATAC data distribution strategy based on tabu search is proposed for the first time. An ATAC data distribution model is constructed, and the related algorithms of the model are designed based on the tabu search, and it is implemented on MATLAB. The framework consists of three parts: 1) the driver module responsible for interacting with users; 2) the load balancing module that solves the data distribution strategy that meets the load balancing situation; 3) the storage optimization module that solves the data distribution strategy that meets the load balancing and optimized storage. Experiments prove that the framework for solving the ATAC data distribution strategy based on tabu search has the following advantages: A) The data distribution strategy obtained by the framework enables the nodes of the distributed system participating in the ATAC calculation to achieve load balancing and complete data localization. B) The data distribution scheme can reduce 40%-50% of the storage space in the distributed system. C) The framework is more advanced than the existing ATAC data distribution algorithm in calculation speed.","","978-1-6654-2311-3","10.1109/ICCCBDA51879.2021.9442556","Inner Mongolia Natural Science Foundation Project(grant numbers:2019MS06027); Inner Mongolia Key Technological Development Program(grant numbers:2019ZD015,2019ZD016); Key Scientific and Technological Research Program of Inner Mongolia Autonomous Region(grant numbers:2019GG273,2020GG0094); Inner Mongolia Autonomous Region Special Program for Engineering Application of Scientific and Technical Payoffs(grant numbers:2020CG0073); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9442556","all-to-all comparison;data distribution;tabu search;load balancing;optimal storage","Location awareness;Distribution strategy;Conferences;Distributed databases;Load management;Data models;Mathematical model","","","","16","IEEE","2 Jun 2021","","","IEEE","IEEE Conferences"
"Real-Time Crawling of Customer Behavior Data and Marketing Strategy Optimization Based on Dynamic Graph Structure Analysis","Z. Zheng; X. Dongyan","Shandong Vocational University of Foreign Affairs, School of Management, Shandong, China; Shandong Vocational University of Foreign Affairs, School of Information Engineering, Shandong, China",2025 International Conference on Machine Learning and Autonomous Systems (ICMLAS),"25 Apr 2025","2025","","","1124","1129","With the continuous development of data mining and crawler algorithms, algorithm-based precision marketing has become a research trend in the computer+business field. With this background, this study proposes the real-time crawling of customer behavior data and marketing strategy optimization based on dynamic graph structure analysis. At the algorithm level, this study first designed a distributed crawler architecture. This efficient architecture uses Redis for URL deduplication and task allocation, and combines the Scrapy framework to achieve efficient data crawling. In the optimization part, the model ensures the uniqueness of crawled data by introducing a web page duplication detection module. Secondly, this study uses the HITS algorithm to analyze web page topics and identify authoritative pages and central pages. At the same time, the vector space model is combined to accurately capture the target data. After data acquisition, the LBSN (location-based social network) multi-mode heterogeneous network is integrated and analyzed, and community clustering analysis and shortest path optimization are performed simultaneously. This step uses the mutual information method to calculate the relevance of user interest topics, and discovers key nodes (Leader Nodes) through the depth-first search (DFS) algorithm. Finally, this study combined the K-means clustering algorithm to group and analyze user data and generate consumer portraits. The experimental part used the Men's mailing data-set for verification. The results showed that the proposed precision marketing model achieved significant results in increasing customer consumption, and the average reach rate exceeded the standard threshold of 90%.","","979-8-3315-0574-5","10.1109/ICMLAS64557.2025.10968316","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10968316","Real-time Crawling;Customer Behavior Data;Strategy Optimization;Dynamic Graph Model;Data-driven Decision Making","Consumer behavior;Heuristic algorithms;Crawlers;Clustering algorithms;Web pages;Real-time systems;Data models;Vectors;Optimization;Mutual information","","","","24","IEEE","25 Apr 2025","","","IEEE","IEEE Conferences"
"Research on Logistics Big Data Asset Management and Data Mining Based on Particle Swarm Optimization","S. Guo","Yunnan University of Business Management, Kunming, China",2022 International Conference on Artificial Intelligence and Autonomous Robot Systems (AIARS),"14 Nov 2022","2022","","","391","394","The increasing progress of mobile Internet provides more opportunities for asset management technology, such as the rise of Internet of things, cloud computing and big data technology. In the field of logistics distribution, with the increasing transaction volume generated by mobile devices, the huge amount of data generated continuously also needs more and more efficient and practical data processing methods. In the field of logistics, logistics big data asset management has also become a new technical means to optimize logistics management and improve distribution efficiency. With the increasing progress of logistics informatization, the scale of logistics data increases geometrically. At present, many logistics information platforms have huge databases, but the data in them are lack of effective analysis and mining, which hides the law and value behind the data. Therefore, it is very necessary to establish a data mining (DM) system based on logistics information platform. According to the characteristics of large amount of cloud data and complex structure, this paper plans and implements a system that can manage the whole life cycle of data from collection to processing, then to cleaning, and finally to production, and capitalize these disordered data.","","978-1-6654-5457-5","10.1109/AIARS57204.2022.00094","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9943237","Particle swarm optimization;Logistics big data asset management;DM","Cloud computing;Technological innovation;Software algorithms;Production;Big Data;Asset management;Classification algorithms","","","","12","IEEE","14 Nov 2022","","","IEEE","IEEE Conferences"
"Study on the path optimization method of autonomous navigation of unmanned aerial vehicles integrating multi-sensor data","G. Yan; J. Du; S. Chen; X. Tian","Xi’an Jiaotong University, Xi’an, Shaanxi, China; Norinco Group Testing and Research Institute, Xi’an, Shaanxi, China; Norinco Group Testing and Research Institute, Xi’an, Shaanxi, China; Xi’an Jiaotong University, Xi’an, Shaanxi, China",IEEE Access,"","2025","PP","99","1","1","AI-driven and sensor-fusion methods for autonomous systems, our work addresses the critical challenge of enhancing UAV path planning through multi-sensor integration. Prior approaches—such as traditional GNSS-inertial fusion or single-camera vision—suffer from limitations in GPS-denied or dynamic environments, often lacking robustness, adaptability, or real-time performance amid obstacles and sensor noise citeturn0search1turn1search3.We propose a novel optimization framework that deeply integrates data from multiple onboard sensors—including LiDAR, vision, and inertial units—within a deep reinforcement learning architecture informed by our method section. By leveraging sensor fusion, our method dynamically adjusts flight trajectories with heightened spatial awareness, improving obstacle avoidance and significantly reducing path deviations. Experimental results demonstrate that our approach outperforms baseline single-sensor and non-fused systems, achieving smoother, safer routes with lower cumulative error and real-time responsiveness. This integration highlights the advantages of multi-sensor fusion inUAVnavigation, aligning strongly with the special issue’s theme of advanced data-driven autonomous flight.","2169-3536","","10.1109/ACCESS.2025.3609022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11159199","Multi-sensor fusion;Deep reinforcement learning;UAV path optimization;Obstacle-aware trajectory planning;Sensor-integrated autonomous","Autonomous aerial vehicles;Navigation;Real-time systems;Optimization;Vehicle dynamics;Planning;Autonomous robots;Adaptation models;Simultaneous localization and mapping;Robustness","","","","","CCBY","11 Sep 2025","","","IEEE","IEEE Early Access Articles"
"Optimization of Bayesian Inference Algorithm in Multimodal Data Fusion","J. Deng; W. Wang","Beijing Institute of Technology, Beijing, China; Beijing Institute of Technology, Beijing, China",2024 4th International Conference on Communication Technology and Information Technology (ICCTIT),"24 Mar 2025","2024","","","751","755","This paper proposes an optimized Bayesian inference algorithm, which aims to improve fusion accuracy and computational efficiency by improving the model structure and introducing an adaptive weighting mechanism. Specifically, this paper optimizes the algorithm’s computational process by adjusting the structure of the Bayesian network, using methods such as variational inference and distributed computing, and reduces the computational burden in the data fusion process. In addition, this paper also proposes a new data uncertainty modeling strategy that can better handle the noise and missing value problems of different modal data. Through experimental verification in multiple scenarios such as smart home, medical diagnosis, and autonomous driving, the results show that the optimized algorithm performs significantly better than the traditional Bayesian inference method on multiple data sets. In experiment A, the fusion accuracy of the optimized algorithm is improved by 10%, and the computational time is reduced by 15%; in experiment B, the error rate is reduced by 12%, and the computational efficiency is improved by 18%. The experimental results show that the proposed optimization algorithm can effectively improve the accuracy and efficiency of multimodal data fusion, and has good scalability and real-time performance.","","979-8-3315-2897-3","10.1109/ICCTIT64404.2024.10928437","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10928437","Multimodal data fusion;bayesian reasoning algorithm;algorithm optimization;data accuracy","Adaptation models;Accuracy;Computational modeling;Data integration;Approximation algorithms;Inference algorithms;Cognition;Bayes methods;Computational efficiency;Optimization","","","","8","IEEE","24 Mar 2025","","","IEEE","IEEE Conferences"
"Optimizing Data Transmission in Large-Scale Sensor Networks Using UAVs: A Segmentation-Clustering and Sequential Approach","H. Liu; R. Chen; J. Zhang; Z. Jiang; G. Lu","State Key Laboratory of Mechanics and Control for Aerospace Structures, Nanjing University of Aeronautics and Astronautics, Nanjing, China; State Key Laboratory of Mechanics and Control for Aerospace Structures, Nanjing University of Aeronautics and Astronautics, Nanjing, China; State Key Laboratory of Mechanics and Control for Aerospace Structures, Nanjing University of Aeronautics and Astronautics, Nanjing, China; State Key Laboratory of Mechanics and Control for Aerospace Structures, Nanjing University of Aeronautics and Astronautics, Nanjing, China; State Key Laboratory of Mechanics and Control for Aerospace Structures, Nanjing University of Aeronautics and Astronautics, Nanjing, China",IEEE Sensors Journal,"15 Aug 2024","2024","24","16","26770","26787","In outdoor environments, the demand for real-time data transmission from large-scale sensor networks necessitates innovative solutions. This study introduces a system architecture aimed at optimizing real-time data transmission performance using fixed-wing unmanned aerial vehicles (UAVs). By deriving energy consumption and network throughput models for UAV flight, we investigate the relationships between key parameters such as sensor node (SN) distribution, UAV flight center position, and flight radius with throughput and UAV flight energy consumption. Subsequently, we establish an optimization model for UAV flight parameters to enhance both data transmission efficiency of SNs and energy efficiency of UAVs. To address the computational challenges posed by large-scale sensor network applications, we propose the segmentation-iteration clustering (SEG-C) algorithm to reduce computational complexity. Additionally, we develop the sequential optimization algorithm (SOA) by decomposing and reconstructing the complex nonconvex multiobjective optimization model and its constraints. Simulation results demonstrate that the SOA achieves optimal UAV flight parameters while maintaining the throughput threshold. Furthermore, the SEG-C algorithm significantly reduces computational scale and enhances solution efficiency, particularly in managing large-scale sensor applications.","1558-1748","","10.1109/JSEN.2024.3424560","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10599146","Real-time data transmission;throughput optimization;UAV energy consumption optimization;unmanned aerial vehicle (UAV)-assisted communication","Autonomous aerial vehicles;Data communication;Sensors;Optimization;Optimization models;Throughput;Wireless sensor networks","","","","35","IEEE","15 Jul 2024","","","IEEE","IEEE Journals"
"Research on Financial Python Visualization Technology Base on Intelligent Data Analysis","B. Fu","Yunnan University Dianchi College, Yunnan, China",2024 3rd International Conference on Artificial Intelligence and Autonomous Robot Systems (AIARS),"14 Oct 2024","2024","","","944","948","Financial analysis methods are widely used in the field of finance, and the introduction of Python technology makes it possible to analyze the financial situation of listed companies in a wider range and longer period. Based on Python visualization technology, combined with financial analysis methods and company growth stage theory, this paper collects and analyzes the data of listed companies, and uses data visualization to analyze the company's profit drivers. It is hoped that through the actual case of python visualization, the specific scheme of python application in financial big data can be analyzed, which can provide a reasonable reference for the optimization of related work.","","979-8-3503-7617-3","10.1109/AIARS63200.2024.00177","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10708910","python;visual;financial analysis","Industries;Data analysis;Data visualization;Finance;Companies;Big Data;Personnel;Data mining;Optimization;Autonomous robots","","","","10","IEEE","14 Oct 2024","","","IEEE","IEEE Conferences"
"Integrating Data-Driven and Knowledge-Driven Methodologies for Safety-Critical Scenario Generation in Autonomous Vehicle Validation","K. Hao; W. Cui; L. Liu; Y. Pan; Z. Yang","Research Center of Synkrotron, Inc., Xi'an, China; Research Center of Synkrotron, Inc., Xi'an, China; Research Center of Synkrotron, Inc., Xi'an, China; Research Center of Synkrotron, Inc., Xi'an, China; Research Center of Synkrotron, Inc., Xi'an, China","2024 IEEE 24th International Conference on Software Quality, Reliability, and Security Companion (QRS-C)","29 Oct 2024","2024","","","970","981","Autonomous driving systems (ADS) enhance driving safety and efficiency but face significant challenges in safety-critical scenarios, necessitating thorough pre-deployment validation. Traditional knowledge-driven scenario generation methods are detailed yet slow and often insufficient for comprehensive ADS domain coverage. Conversely, data-driven approaches, employing real-world data and deep learning, offer efficiency but consume extensive computational resources and focus mainly on isolated domains. This paper introduces BridgeGen, a novel framework that integrates these methodologies to overcome their limitations. BridgeGen uses an ontology-based approach to convert abstract human knowledge into structured, symbol-based spatial constraints for efficient cross-domain exploration. Extensively tested with the Carla simulator, BridgeGen efficiently generates a diverse array of critical safety scenarios essential for robust ADS validation. Within this framework, we developed a scenario generation toolkit based on the ontology-based concept, assessing single-objective (PPO and PSO) and multi-objective (NSGA-II -DT) optimization algorithms. Our results indicate that PPO and PSO enhance critical scenario generation by 1.61 and 1.41 times, respectively, compared to baseline algorithms. NSGA-II -DT, used for multi-objective optimization, improves search quality and efficiency by 1.22 times, effectively avoiding local optima and ensuring broader scenario coverage.","2693-9371","979-8-3503-6565-8","10.1109/QRS-C63300.2024.00129","National Natural Science Foundation of China(grant numbers:62232008); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10727025","Autonomous Driving Systems;Ontology-based Modeling;Safety-Critical Scenario Generation","Deep learning;Software algorithms;Software quality;Safety;Software reliability;Scenario generation;Security;Autonomous vehicles;Optimization;Faces","","1","","53","IEEE","29 Oct 2024","","","IEEE","IEEE Conferences"
"An Optimization Method of AGV Body Topology Based on Improved Variable Density Method","H. Zhao; N. Jiang; C. Lei","School of Mechanical Engineering, Zhengzhou University, Zhengzhou, China; School of Mechanical Engineering, Zhengzhou University, Zhengzhou, China; School of Mechanical Engineering, Zhengzhou University, Zhengzhou, China","2019 International Conference on Sensing, Diagnostics, Prognostics, and Control (SDPC)","17 Aug 2020","2019","","","797","800","Aiming at the problem of large weight coefficient of AGV (Automated guided vehicle) car body at present, taking equal strength and light weight as the research target, the mechanical analysis of car body structure was carried out. The relationship between load distribution and wheel position was obtained by mathematical programming, and the constraint conditions of the topology optimization problem were obtained. An adaptive mechanism was proposed to adjust the moving window according to the change of design variables before and after iteration. An adaptive improved variable density method based on sliding window was established to optimize the topological structure of AGV car body. Finally, the structure simulation and verification were carried out to verify the effectiveness and practicability of the method, which can optimize the performance of the AGV car body structure, reduce the weight of the structure, and then improve the efficiency and rationality of the AGV operation.","","978-1-7281-0199-6","10.1109/SDPC.2019.00151","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9169054","AGV;variable density method;topological structure;optimization","Topology;Automobiles;Adaptation models;Optimization methods;Interpolation;Wheels","","1","","10","IEEE","17 Aug 2020","","","IEEE","IEEE Conferences"
"Introducing CrowdMapping: A Novel System for Generating Autonomous Driving Aiding Traffic Network Databases","M. Szántó; L. Vajta","Dept. of Control Engineering and Information Technology, Budapest University of Technology and Economics, Budapest, Hungary; Dept. of Control Engineering and Information Technology, Budapest University of Technology and Economics, Budapest, Hungary","2019 International Conference on Control, Artificial Intelligence, Robotics & Optimization (ICCAIRO)","6 Apr 2020","2019","","","7","12","High definition maps of the road networks and the roads' environment have proven to be utterly useful for autonomous driving. Such maps can prove to be useful for the autonomous vehicle for numerous purposes - e.g. preliminary route planning, danger preparation and avoidance, etc. However, producing sufficient data for such maps can be costly because of the high variability of road conditions in the time domain and depending on the load of the elements of the given piece of transport infrastructure - i.e. road loads. In this paper, the CrowdMapping architecture is introduced, which presents a novel framework developed for the generation of an extensive and high definition road database, exploiting the opportunities offered by crowdsourcing, image processing, and cloud computing. State-of-the-art research is presented in the fields related to the development of the functions of the CrowdMapping framework. The currently ongoing research and development activities linked to CrowdMapping carried out at the Budapest University of Technology and Economics are also listed in chapter III. of this paper, as well as the future work possibilities, which are listed in chapter IV.","","978-1-7281-3572-4","10.1109/ICCAIRO47923.2019.00010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9057167","autonomous driving;smart cities;crowdsourcing;HD maps;road network mapping;CrowdMapping","Autonomous vehicles;Roads;Crowdsourcing;Cameras;Navigation;Computer architecture;Task analysis","","","","26","IEEE","6 Apr 2020","","","IEEE","IEEE Conferences"
